1; Draft.Scratch_smt_check_7_3382; 2026-04-10 13:43:45.603;
bind: 356000,415000,390000,485000,398000,
cong: 111000,129000,73000,218000,85000,235000,90000,213000,180000,127000,
refl: 26000,25000,41000,580000,33000,36000,57000,77000,38000,
symm: 112000,355000,410000,
trans: 164000,302000,322000,305000,237000,131000,342000,296000,348000,273000,368000,236000,267000,
equiv1: 163000,
equiv2: 189000,
or_pos: 294000,
implies: 175000,
not_not: 170000,
parsing: 6794000,
aci_simp: 1886000,2093000,1994000,
evaluate: 287000,
onepoint: 1997000,
qnt_join: 409000,
subproof: 1889000,
equiv_pos2: 268000,
not_equiv1: 133000,
not_equiv2: 148000,
reordering: 352000,
resolution: 261000,247000,291000,311000,220000,367000,324000,392000,362000,377000,292000,
contraction: 292000,
forall_inst: 1270000,1163000,
implies_neg1: 260000,
implies_neg2: 216000,
__local_input: 46000,
qnt_rm_unused: 569000,2034000,
equiv_simplify: 347000,291000,
__normalized_input: 1095000,1120000,1011000,
rare_rewrite_eq-refl: 109000,
rare_rewrite_eq-symm: 148000,132000,
rare_rewrite_or-not-refl: 12068000,
rare_rewrite_bool-impl-elim: 11606000,
rare_rewrite_bool-and-de-morgan: 12211000,

