1; Draft.Scratch_smt_check_7_23250; 2026-04-10 13:45:31.022;
bind: 305000,288000,317000,346000,
cong: 155000,196000,121000,112000,187000,134000,119000,310000,178000,118000,111000,121000,128000,100000,148000,111000,126000,197000,256000,200000,185000,
refl: 95000,91000,36000,41000,
symm: 153000,137000,13286000,
false: 13000,
trans: 253000,218000,248000,155000,130000,245000,225000,380000,163000,135000,127000,143000,146000,198000,318000,286000,294000,164000,274000,212000,
equiv1: 158000,
or_neg: 172000,141000,158000,187000,201000,
or_pos: 281000,266000,
and_neg: 165000,
and_pos: 100000,
implies: 242000,433000,
parsing: 19363000,
aci_simp: 1254000,1447000,
evaluate: 450000,236000,399000,452000,425000,
subproof: 1989000,
and_intro: 138000,
poly_simp: 1975000,1974000,1911000,2596000,2060000,2939000,3079000,5701000,
equiv_pos1: 65000,65000,
equiv_pos2: 89000,66000,121000,184000,195000,362000,191000,144000,193000,246000,
la_generic: 12117000,
not_equiv1: 157000,
not_equiv2: 145000,
reordering: 337000,149000,256000,216000,339000,239000,193000,274000,
resolution: 100000,166000,239000,217000,274000,189000,225000,201000,237000,304000,154000,275000,315000,343000,392000,235000,293000,320000,372000,453000,511000,306000,322000,299000,297000,340000,278000,
contraction: 269000,380000,229000,
forall_inst: 921000,872000,
la_mult_neg: 473000,
implies_neg1: 359000,
implies_neg2: 341000,
__local_input: 91000,
poly_simp_rel: 1077000,1183000,1030000,1211000,
equiv_simplify: 334000,
__normalized_input: 2549000,920000,925000,1239000,
rare_rewrite_eq-symm: 139000,141000,
rare_rewrite_arith-elim-gt: 11734000,
rare_rewrite_arith-elim-lt: 6468000,6416000,12319000,
rare_rewrite_arith-elim-leq: 6295000,6313000,12026000,
rare_rewrite_bool-impl-elim: 6862000,6498000,
rare_rewrite_bool-and-de-morgan: 6029000,6397000,
rare_rewrite_bool-double-not-elim: 97000,144000,

