1; Draft.Scratch_smt_check_7_12039; 2026-04-10 13:50:55.217;
bind: 455000,475000,555000,606000,332000,
cong: 233000,134000,120000,140000,
refl: 65000,
trans: 437000,464000,629000,521000,265000,
or_pos: 498000,341000,315000,261000,
and_pos: 223000,
parsing: 3067000,
aci_simp: 2096000,
equiv_pos2: 183000,187000,314000,196000,
reordering: 586000,298000,480000,459000,281000,
resolution: 521000,611000,539000,471000,475000,521000,553000,632000,584000,514000,589000,595000,303000,
forall_inst: 1404000,1364000,1638000,956000,
__normalized_input: 1319000,1304000,1128000,1032000,864000,588000,701000,
rare_rewrite_bool-impl-elim: 12052000,11562000,12122000,
rare_rewrite_bool-impl-false1: 6347000,6481000,
rare_rewrite_bool-and-de-morgan: 12013000,6338000,
rare_rewrite_bool-double-not-elim: 222000,

