1; Draft.Scratch_smt_check_7_20101; 2026-04-10 13:50:40.778;
cong: 53000,98000,56000,93000,174000,
refl: 34000,28000,33000,
symm: 129000,
trans: 121000,151000,151000,
equiv1: 205000,155000,
equiv2: 149000,130000,128000,
or_neg: 228000,212000,205000,222000,
and_pos: 168000,174000,188000,179000,190000,183000,
implies: 222000,
not_and: 230000,
not_not: 152000,196000,
parsing: 1141000,
evaluate: 224000,
subproof: 1048000,1141000,
and_intro: 167000,
equiv_pos2: 26000,147000,
reordering: 303000,791000,
resolution: 236000,208000,508000,1430000,242000,228000,270000,242000,387000,204000,194000,210000,194000,215000,401000,343000,826000,204000,193000,237000,256000,
contraction: 425000,208000,223000,309000,347000,
forall_inst: 699000,742000,739000,
implies_neg1: 209000,308000,
implies_neg2: 169000,288000,
__local_input: 52000,124000,57000,22000,24000,30000,
equiv_simplify: 227000,196000,203000,231000,
implies_simplify: 273000,
__normalized_input: 1377000,498000,510000,711000,
rare_rewrite_bool-double-not-elim: 143000,

