1; Draft.Scratch_smt_check_7_23167; 2026-04-10 13:43:17.740;
bind: 318000,276000,319000,274000,
cong: 168000,161000,161000,
symm: 199000,
trans: 309000,220000,348000,
or_pos: 320000,301000,317000,316000,
and_neg: 693000,
and_pos: 505000,515000,519000,460000,
implies: 489000,
parsing: 26491000,
subproof: 2326000,
equiv_pos2: 241000,245000,
reordering: 380000,408000,838000,2151000,404000,385000,
resolution: 401000,254000,292000,287000,351000,271000,315000,400000,949000,768000,637000,3265000,295000,347000,460000,349000,302000,377000,359000,
contraction: 757000,990000,
forall_inst: 1212000,1470000,1280000,1226000,1333000,1239000,1289000,1381000,
implies_neg1: 870000,
implies_neg2: 607000,
__local_input: 62000,40000,37000,48000,
__normalized_input: 1353000,1475000,922000,883000,1063000,
rare_rewrite_eq-symm: 191000,215000,
rare_rewrite_bool-impl-elim: 11410000,24792000,

