1; Draft.Scratch_smt_check_7_4229; 2026-04-10 13:42:53.044;
cong: 194000,141000,130000,99000,210000,
refl: 28000,32000,
trans: 333000,324000,
implies: 258000,
parsing: 12408000,
subproof: 5398000,
equiv_pos2: 289000,96000,230000,
resolution: 291000,398000,333000,538000,514000,281000,457000,
contraction: 504000,
forall_inst: 1460000,
implies_neg1: 376000,
implies_neg2: 310000,
__local_input: 77000,
connective_def: 514000,537000,
__normalized_input: 6047000,896000,1320000,
rare_rewrite_bool-double-not-elim: 377000,291000,

