1; Draft.Scratch_smt_check_7_4928; 2026-04-10 13:49:25.179;
and: 225000,220000,136000,
bind: 316000,312000,180000,
cong: 158000,181000,89000,157000,163000,77000,253000,119000,120000,122000,164000,90000,91000,49000,146000,90000,71000,72000,154000,345000,
refl: 73000,58000,42000,
symm: 209000,401000,226000,349000,237000,317000,119000,160000,129000,318000,
trans: 267000,434000,295000,322000,236000,298000,311000,
equiv1: 844000,284000,
equiv2: 512000,430000,227000,
or_neg: 588000,572000,535000,573000,
and_pos: 734000,671000,405000,376000,346000,402000,
implies: 531000,
not_and: 577000,
not_not: 337000,194000,
parsing: 20184000,
evaluate: 236000,
subproof: 2326000,1507000,
and_intro: 307000,
equiv_pos2: 190000,166000,199000,86000,151000,28000,103000,86000,161000,363000,
reordering: 1232000,1572000,
resolution: 569000,502000,320000,442000,397000,452000,1134000,3183000,587000,618000,699000,573000,942000,323000,416000,493000,470000,513000,492000,487000,407000,314000,460000,690000,591000,1447000,232000,262000,216000,275000,295000,231000,193000,287000,308000,
contraction: 1382000,757000,803000,744000,788000,
forall_inst: 1228000,1485000,1663000,1613000,1487000,766000,846000,796000,1020000,
implies_neg1: 457000,783000,
implies_neg2: 663000,709000,
__local_input: 55000,95000,47000,40000,30000,89000,
equiv_simplify: 690000,660000,321000,382000,
implies_simplify: 1052000,
__normalized_input: 21795000,1373000,697000,578000,735000,
rare_rewrite_eq-symm: 263000,171000,288000,159000,301000,
rare_rewrite_bool-eq-false: 6733000,6409000,6576000,6499000,
rare_rewrite_bool-double-not-elim: 258000,

