1; Draft.Scratch_smt_check_7_31284; 2026-04-10 13:49:30.812;
and: 176000,178000,184000,212000,
bind: 716000,648000,1164000,567000,577000,440000,
cong: 54000,47000,60000,306000,62000,81000,52000,92000,351000,382000,331000,346000,529000,573000,225000,258000,258000,497000,129000,115000,107000,87000,84000,72000,101000,62000,56000,56000,59000,54000,48000,66000,324000,
refl: 44000,19000,23000,105000,23000,18000,29000,57000,94000,34000,45000,157000,31000,30000,23000,57000,46000,47000,45000,
symm: 176000,193000,136000,152000,123000,
trans: 154000,603000,567000,492000,528000,523000,786000,653000,651000,754000,531000,135000,169000,154000,150000,
choice: 72000,
equiv1: 963000,
equiv2: 199000,144000,
or_neg: 377000,448000,332000,392000,570000,547000,567000,582000,629000,635000,4494000,
or_pos: 427000,900000,
and_neg: 412000,
and_pos: 241000,230000,639000,643000,661000,641000,611000,347000,321000,334000,316000,338000,
implies: 519000,510000,
not_and: 570000,
not_not: 169000,
parsing: 42004000,
aci_simp: 1741000,13184000,2113000,3033000,
evaluate: 277000,
subproof: 2313000,1292000,1482000,
and_intro: 347000,
equiv_pos2: 63000,882000,314000,212000,324000,629000,89000,96000,51000,28000,57000,345000,
reordering: 508000,489000,337000,324000,641000,1606000,3001000,1743000,
resolution: 262000,260000,213000,401000,655000,493000,443000,1515000,544000,689000,414000,503000,755000,850000,851000,724000,657000,378000,505000,408000,1374000,5834000,558000,684000,785000,668000,2729000,179000,193000,286000,232000,219000,181000,285000,694000,681000,1548000,254000,231000,276000,
sko_forall: 2724000,
contraction: 560000,845000,777000,1645000,837000,1226000,711000,796000,
forall_inst: 816000,2148000,1445000,1611000,753000,847000,780000,887000,
implies_neg1: 701000,510000,746000,
implies_neg2: 666000,639000,733000,
__local_input: 161000,29000,34000,38000,71000,43000,75000,33000,39000,62000,53000,
equiv_simplify: 240000,213000,
implies_simplify: 1314000,
__normalized_input: 13956000,13972000,2509000,1261000,1640000,918000,850000,910000,817000,745000,903000,
rare_rewrite_bool-impl-elim: 13335000,12215000,12032000,
rare_rewrite_bool-and-de-morgan: 11734000,12430000,12633000,12970000,
rare_rewrite_bool-double-not-elim: 167000,227000,550000,137000,137000,190000,

