1; Draft.Scratch_smt_check_7_11747; 2026-04-10 13:49:31.717;
and: 287000,330000,171000,
cong: 320000,285000,153000,522000,301000,281000,157000,404000,198000,152000,199000,212000,170000,159000,99000,236000,122000,80000,125000,207000,781000,
refl: 55000,32000,112000,91000,59000,127000,
symm: 416000,598000,389000,457000,311000,783000,202000,258000,180000,440000,
trans: 341000,629000,541000,792000,427000,337000,308000,430000,429000,
equiv1: 1346000,398000,
equiv2: 4298000,838000,454000,
or_neg: 1042000,1008000,948000,992000,1039000,
and_pos: 981000,1060000,858000,835000,764000,871000,904000,
implies: 604000,1084000,
not_and: 1070000,
not_not: 543000,314000,
parsing: 36155000,
evaluate: 271000,
subproof: 2448000,2710000,2270000,
and_intro: 454000,
equiv_pos2: 429000,675000,410000,226000,30000,190000,223000,897000,
reordering: 1828000,4590000,
resolution: 589000,656000,457000,403000,433000,706000,835000,840000,476000,527000,1875000,6279000,1002000,687000,914000,772000,1164000,326000,501000,521000,588000,510000,3758000,750000,496000,394000,480000,1258000,1136000,2676000,269000,347000,285000,348000,429000,298000,239000,323000,333000,
contraction: 845000,3229000,1128000,1179000,1478000,1760000,
forall_inst: 1698000,1570000,1677000,1796000,1801000,1761000,1488000,1717000,969000,1039000,959000,1022000,
implies_neg1: 798000,749000,1747000,
implies_neg2: 870000,794000,1448000,
__local_input: 128000,94000,133000,61000,54000,38000,63000,132000,
equiv_simplify: 981000,1023000,572000,493000,
implies_simplify: 1589000,
__normalized_input: 1439000,1279000,1159000,774000,815000,
rare_rewrite_eq-symm: 682000,439000,410000,
rare_rewrite_bool-eq-false: 12353000,7079000,7332000,6758000,
rare_rewrite_bool-double-not-elim: 462000,

