1; Draft.Scratch_smt_check_7_28530; 2026-04-10 13:49:30.853;
and: 186000,221000,251000,224000,
bind: 1223000,1169000,664000,350000,302000,335000,337000,
cong: 133000,4554000,103000,100000,82000,516000,102000,129000,82000,106000,78000,84000,619000,378000,357000,388000,326000,341000,141000,143000,
refl: 30000,28000,80000,44000,44000,192000,43000,32000,28000,88000,47000,19000,29000,102000,
symm: 175000,191000,171000,199000,
trans: 1049000,1030000,880000,945000,754000,745000,663000,665000,402000,290000,288000,
equiv1: 268000,
or_pos: 546000,
and_pos: 143000,
parsing: 42350000,
aci_simp: 3264000,2373000,1092000,1568000,1338000,
equiv_pos2: 75000,99000,78000,461000,159000,
reordering: 204000,816000,
resolution: 894000,464000,389000,1115000,900000,437000,227000,327000,267000,
forall_inst: 1326000,
__normalized_input: 20067000,4973000,1393000,694000,507000,488000,711000,
rare_rewrite_bool-impl-elim: 7292000,6917000,7145000,
rare_rewrite_bool-and-de-morgan: 9717000,6844000,6979000,6817000,

