1; Draft.Scratch_smt_check_7_10002; 2026-04-10 13:48:19.005;
cong: 257000,151000,222000,320000,
refl: 72000,
symm: 219000,369000,
trans: 385000,376000,452000,
equiv1: 346000,
equiv2: 364000,
implies: 339000,
not_not: 395000,
parsing: 1980000,
subproof: 2085000,
equiv_pos2: 190000,393000,
resolution: 368000,472000,519000,458000,528000,503000,555000,525000,374000,
contraction: 543000,
forall_inst: 1529000,
implies_neg1: 454000,
implies_neg2: 495000,
__local_input: 94000,
equiv_simplify: 693000,479000,
__normalized_input: 1311000,1058000,1377000,
rare_rewrite_eq-symm: 324000,
rare_rewrite_bool-eq-false: 14841000,13208000,

