1; Draft.Scratch_smt_check_7_10711; 2026-04-10 13:42:24.653;
and: 180000,310000,237000,275000,
bind: 457000,377000,426000,365000,
cong: 222000,185000,269000,
trans: 358000,303000,302000,357000,295000,
or_pos: 408000,
implies: 398000,
parsing: 5494000,
subproof: 2756000,
poly_simp: 3193000,3225000,3172000,
equiv_pos2: 294000,199000,279000,
reordering: 548000,
resolution: 321000,407000,436000,432000,665000,792000,357000,414000,
contraction: 679000,
forall_inst: 1332000,
implies_neg1: 542000,
implies_neg2: 558000,
__local_input: 87000,
poly_simp_rel: 1899000,1925000,1871000,
__normalized_input: 1587000,771000,992000,
rare_rewrite_arith-elim-leq: 11112000,11426000,11033000,
rare_rewrite_bool-impl-elim: 11448000,11136000,

