1; Draft.Scratch_smt_check_7_4223; 2026-04-10 13:46:45.483;
bind: 267000,256000,282000,256000,
cong: 102000,159000,86000,153000,98000,168000,103000,114000,92000,
refl: 95000,
symm: 182000,334000,
trans: 285000,253000,299000,290000,297000,
equiv1: 268000,
equiv2: 197000,
implies: 277000,
not_not: 193000,
parsing: 2760000,
subproof: 2042000,
equiv_pos2: 179000,192000,180000,
resolution: 275000,347000,312000,334000,255000,358000,424000,455000,460000,319000,480000,
contraction: 434000,
forall_inst: 1255000,1229000,
implies_neg1: 356000,
implies_neg2: 350000,
__local_input: 93000,
equiv_simplify: 333000,437000,
__normalized_input: 3118000,1650000,833000,897000,
rare_rewrite_eq-symm: 240000,283000,215000,
rare_rewrite_bool-eq-false: 11878000,11496000,

