1; Draft.Scratch_smt_check_7_26644; 2026-04-10 13:49:45.037;
bind: 408000,443000,467000,447000,
cong: 96000,82000,67000,389000,239000,162000,197000,145000,99000,85000,64000,
refl: 26000,30000,26000,
trans: 346000,344000,
or_pos: 539000,
implies: 641000,
parsing: 3742000,
subproof: 2088000,
equiv_pos2: 265000,308000,174000,245000,
reordering: 1037000,
resolution: 292000,381000,462000,433000,380000,790000,771000,433000,364000,
contraction: 929000,
forall_inst: 1477000,
implies_neg1: 770000,
implies_neg2: 968000,
__local_input: 275000,
__normalized_input: 10788000,4723000,1059000,860000,
rare_rewrite_bool-impl-elim: 6353000,6354000,

