1; Draft.Scratch_smt_check_7_30653; 2026-04-10 13:50:19.934;
bind: 217000,212000,223000,
cong: 88000,105000,65000,87000,83000,104000,69000,69000,559000,
refl: 106000,69000,63000,98000,
symm: 142000,99000,112000,104000,93000,114000,100000,
trans: 145000,171000,140000,168000,135000,
equiv1: 305000,183000,
equiv2: 178000,285000,143000,
or_neg: 273000,259000,282000,261000,275000,
and_pos: 227000,238000,290000,256000,259000,274000,296000,
implies: 378000,
not_and: 285000,
not_not: 144000,162000,
parsing: 7856000,
evaluate: 207000,
not_symm: 110000,110000,122000,
subproof: 1128000,1294000,
and_intro: 200000,
equiv_pos2: 147000,140000,28000,139000,670000,
reordering: 447000,1473000,
resolution: 247000,185000,169000,172000,186000,248000,732000,2246000,284000,247000,310000,291000,440000,166000,179000,181000,267000,175000,223000,183000,188000,198000,539000,472000,1375000,193000,175000,222000,174000,220000,177000,192000,297000,
contraction: 811000,270000,295000,528000,635000,
forall_inst: 678000,621000,652000,788000,772000,642000,725000,766000,697000,664000,682000,872000,
implies_neg1: 303000,1123000,
implies_neg2: 214000,492000,
__local_input: 49000,102000,37000,27000,100000,13997000,184000,
equiv_simplify: 286000,224000,223000,279000,
implies_simplify: 371000,
__normalized_input: 7768000,6399000,6292000,4526000,1022000,
rare_rewrite_eq-symm: 158000,158000,209000,
rare_rewrite_bool-double-not-elim: 336000,

