1; Draft.Scratch_smt_check_7_3376; 2026-04-10 13:48:54.961;
bind: 211000,306000,293000,398000,
cong: 101000,155000,122000,117000,138000,280000,144000,
refl: 52000,36000,
symm: 158000,
trans: 226000,175000,133000,145000,273000,
or_pos: 666000,
implies: 404000,
parsing: 5055000,
subproof: 2141000,
poly_simp: 1932000,
equiv_pos1: 238000,79000,
equiv_pos2: 132000,196000,234000,356000,
reordering: 608000,1073000,432000,
resolution: 214000,231000,233000,214000,305000,333000,360000,551000,532000,534000,320000,596000,
contraction: 490000,
forall_inst: 974000,1420000,
implies_neg1: 399000,
implies_neg2: 379000,
__local_input: 309000,
poly_simp_rel: 1107000,
__normalized_input: 6780000,4232000,1319000,1028000,1315000,
rare_rewrite_eq-symm: 101000,138000,150000,183000,386000,196000,
rare_rewrite_bool-impl-elim: 6392000,
rare_rewrite_bool-double-not-elim: 125000,

