1; Draft.Scratch_smt_check_7_8481; 2026-04-10 13:43:40.539;
bind: 330000,306000,300000,273000,
cong: 168000,163000,83000,146000,135000,
refl: 64000,63000,
symm: 185000,160000,
false: 17000,
trans: 119000,155000,261000,207000,
equiv2: 215000,292000,
or_pos: 361000,
and_pos: 118000,
not_not: 202000,
parsing: 23507000,
evaluate: 302000,
not_symm: 79000,138000,
equiv_pos2: 232000,242000,97000,201000,56000,
reordering: 206000,400000,528000,
resolution: 170000,241000,237000,303000,319000,406000,289000,277000,348000,296000,281000,347000,241000,396000,
forall_inst: 1346000,1325000,1198000,
equiv_simplify: 343000,336000,
__normalized_input: 1637000,1261000,1105000,919000,997000,
rare_rewrite_eq-symm: 101000,90000,108000,192000,
rare_rewrite_bool-impl-elim: 11084000,
rare_rewrite_bool-double-not-elim: 130000,

