1; Draft.Scratch_smt_check_7_23938; 2026-04-10 13:51:01.279;
and: 160000,158000,151000,
bind: 444000,444000,168000,
cong: 222000,169000,95000,126000,
refl: 73000,59000,71000,44000,55000,86000,58000,
trans: 402000,334000,331000,169000,289000,302000,
equiv1: 179000,158000,
or_pos: 365000,
parsing: 4211000,
aci_simp: 1269000,
equiv_pos2: 301000,179000,
reordering: 503000,
resolution: 264000,208000,377000,378000,196000,182000,346000,
forall_inst: 737000,1002000,
connective_def: 252000,
__normalized_input: 893000,780000,
miniscope_distribute: 407000,
rare_rewrite_bool-impl-elim: 6587000,
rare_rewrite_bool-and-de-morgan: 6261000,
rare_rewrite_bool-double-not-elim: 142000,

