1; Draft.Scratch_smt_check_7_6901; 2026-04-10 13:44:31.470;
bind: 370000,370000,437000,461000,
cong: 227000,248000,
refl: 55000,62000,
trans: 242000,250000,247000,263000,
or_pos: 507000,508000,470000,481000,
implies: 392000,
parsing: 18785000,
aci_simp: 1838000,1859000,
subproof: 2862000,
equiv_pos2: 276000,269000,412000,390000,
not_equiv1: 165000,
not_equiv2: 182000,
reordering: 819000,882000,722000,713000,
resolution: 404000,490000,317000,422000,418000,224000,465000,332000,416000,397000,539000,435000,783000,835000,481000,442000,
contraction: 651000,
forall_inst: 1460000,1445000,1437000,1597000,
implies_neg1: 543000,
implies_neg2: 621000,
__local_input: 123000,
__normalized_input: 1421000,1191000,1054000,1066000,1187000,
rare_rewrite_bool-impl-elim: 11039000,10974000,11157000,25541000,
rare_rewrite_bool-and-de-morgan: 11127000,23130000,

