1; Draft.Scratch_smt_check_7_11206; 2026-04-10 13:51:49.475;
and: 278000,344000,
bind: 700000,664000,646000,602000,471000,661000,16410000,1602000,1488000,1149000,1175000,920000,1324000,1148000,
cong: 304000,184000,258000,147000,191000,310000,60000,271000,196000,140000,428000,395000,248000,120000,516000,327000,517000,275000,351000,545000,94000,434000,366000,212000,427000,418000,254000,811000,223000,124000,
refl: 23000,37000,42000,20000,32000,37000,64000,29000,589000,37000,50000,37000,70000,67000,42000,78000,66000,43000,66000,63000,120000,46000,965000,46000,41000,39000,52000,62000,26000,33000,38000,
symm: 208000,481000,598000,407000,980000,1087000,
trans: 563000,558000,486000,491000,514000,405000,168000,510000,474000,484000,520000,393000,426000,409000,403000,263000,794000,803000,1113000,1147000,1069000,1003000,1060000,798000,297000,1079000,895000,923000,1450000,1294000,798000,764000,796000,591000,720000,722000,368000,295000,
or_pos: 601000,
implies: 876000,
parsing: 33947000,
aci_simp: 1244000,1525000,1497000,1308000,2530000,2324000,2613000,3281000,2735000,2494000,2486000,2014000,1143000,
evaluate: 456000,
onepoint: 2853000,5194000,
qnt_join: 532000,1133000,
subproof: 4731000,
equiv_pos2: 882000,99000,840000,656000,
reordering: 752000,
resolution: 339000,494000,653000,596000,1031000,1581000,1768000,1099000,936000,
contraction: 1797000,
forall_inst: 2261000,
implies_neg1: 1479000,
implies_neg2: 1514000,
__local_input: 498000,
qnt_rm_unused: 739000,4092000,2182000,6718000,
__normalized_input: 996000,992000,955000,1259000,642000,
rare_rewrite_eq-refl: 129000,263000,259000,
rare_rewrite_eq-symm: 371000,649000,776000,512000,
rare_rewrite_or-not-refl: 8135000,14492000,
rare_rewrite_bool-impl-elim: 9657000,12933000,
rare_rewrite_bool-and-de-morgan: 7370000,8511000,8558000,12224000,12528000,12610000,

