1; Draft.Scratch_smt_check_7_26107; 2026-04-10 13:50:19.156;
bind: 338000,331000,
cong: 155000,150000,
refl: 54000,51000,
trans: 222000,229000,207000,228000,
or_pos: 265000,
implies: 249000,
parsing: 5289000,
aci_simp: 1089000,1105000,
subproof: 1554000,
equiv_pos2: 202000,214000,
reordering: 334000,
resolution: 303000,328000,295000,425000,476000,305000,307000,
contraction: 391000,
forall_inst: 869000,
implies_neg1: 368000,
implies_neg2: 324000,
__local_input: 177000,
__normalized_input: 2108000,633000,569000,848000,
rare_rewrite_bool-impl-elim: 6571000,7270000,
rare_rewrite_bool-and-de-morgan: 6401000,5967000,

