1; Draft.Scratch_smt_check_7_27745; 2026-04-10 13:51:20.019;
bind: 522000,485000,314000,939000,1005000,
cong: 235000,179000,116000,414000,298000,
refl: 98000,196000,
trans: 425000,379000,406000,259000,249000,824000,760000,763000,491000,
or_pos: 336000,787000,
implies: 809000,
parsing: 5776000,
aci_simp: 1293000,2681000,
subproof: 3747000,
poly_simp: 1863000,1922000,3666000,
equiv_pos2: 298000,146000,204000,546000,
reordering: 448000,1028000,
resolution: 349000,453000,399000,262000,319000,341000,407000,1138000,1230000,725000,788000,
contraction: 1214000,
forall_inst: 922000,2066000,
implies_neg1: 1344000,
implies_neg2: 1042000,
__local_input: 534000,
poly_simp_rel: 1144000,1151000,2387000,
__normalized_input: 70159000,15507000,13604000,7089000,7203000,
rare_rewrite_arith-elim-leq: 6232000,6408000,12647000,
rare_rewrite_bool-impl-elim: 6647000,6174000,12693000,
rare_rewrite_bool-and-de-morgan: 6172000,12278000,

