1; Draft.Scratch_smt_check_7_32219; 2026-04-10 13:49:10.809;
and: 222000,206000,216000,
bind: 952000,448000,514000,491000,255000,
cong: 367000,356000,218000,866000,219000,222000,236000,137000,483000,
refl: 77000,
trans: 580000,394000,366000,305000,204000,
or_neg: 600000,621000,582000,650000,305000,296000,285000,353000,
or_pos: 362000,411000,
and_neg: 577000,326000,
implies: 375000,
parsing: 6975000,
aci_simp: 2274000,1146000,
subproof: 1739000,
equiv_pos1: 283000,138000,
equiv_pos2: 706000,779000,338000,363000,384000,
reordering: 944000,903000,501000,510000,546000,429000,
resolution: 419000,475000,506000,479000,676000,1091000,3266000,409000,420000,460000,500000,573000,506000,237000,270000,282000,256000,406000,632000,1841000,
contraction: 1372000,543000,687000,
forall_inst: 1795000,1481000,1023000,767000,
implies_neg1: 278000,
implies_neg2: 434000,
__local_input: 186000,
connective_def: 533000,276000,
__normalized_input: 7370000,5389000,5352000,2165000,579000,566000,
rare_rewrite_bool-impl-elim: 12064000,
rare_rewrite_bool-and-de-morgan: 12136000,6561000,
rare_rewrite_bool-double-not-elim: 362000,236000,252000,315000,221000,113000,139000,

