1; Draft.Scratch_smt_check_7_31337; 2026-04-10 13:48:56.146;
cong: 117000,79000,
symm: 182000,
trans: 178000,
and_neg: 467000,
and_pos: 427000,620000,408000,401000,
implies: 417000,
parsing: 2451000,
subproof: 1294000,
reordering: 610000,1585000,
resolution: 267000,212000,247000,661000,559000,452000,1249000,229000,254000,
contraction: 568000,682000,
forall_inst: 718000,821000,747000,787000,
implies_neg1: 720000,
implies_neg2: 512000,
__local_input: 48000,60000,37000,37000,
__normalized_input: 2669000,592000,584000,675000,

