1; Draft.Scratch_smt_check_7_5183; 2026-04-10 13:47:14.779;
bind: 506000,739000,521000,397000,
cong: 237000,292000,262000,285000,185000,
refl: 113000,70000,
symm: 339000,348000,
false: 22000,
trans: 219000,355000,387000,633000,
choice: 72000,
equiv2: 510000,201000,
or_neg: 264000,308000,359000,253000,
or_pos: 758000,473000,
and_pos: 381000,
not_not: 238000,
parsing: 9592000,
evaluate: 320000,
equiv_pos2: 322000,38675000,303000,210000,53000,
reordering: 360000,554000,1637000,698000,
resolution: 218000,309000,336000,419000,493000,792000,308000,365000,423000,616000,569000,790000,422000,739000,640000,650000,958000,400000,
sko_forall: 2002000,
contraction: 426000,
forall_inst: 1701000,2840000,1414000,
equiv_simplify: 695000,348000,
__normalized_input: 2701000,1815000,1714000,1088000,1087000,
rare_rewrite_bool-impl-elim: 16762000,21448000,11918000,
rare_rewrite_bool-double-not-elim: 538000,
rare_rewrite_bool-implies-de-morgan: 14530000,

