1; Draft.Scratch_smt_check_7_23875; 2026-04-10 13:44:05.711;
bind: 284000,360000,413000,340000,
cong: 140000,91000,84000,112000,112000,86000,
symm: 93000,103000,91000,
trans: 173000,87000,104000,118000,98000,117000,129000,348000,87000,102000,121000,
or_pos: 289000,
implies: 245000,
parsing: 3298000,
subproof: 2962000,
poly_simp: 3910000,4176000,9117000,
equiv_pos2: 318000,91000,273000,
reordering: 318000,
resolution: 196000,275000,355000,374000,527000,549000,392000,425000,
contraction: 412000,
forall_inst: 1399000,
implies_neg1: 413000,
implies_neg2: 298000,
__local_input: 87000,
poly_simp_rel: 1783000,1806000,1784000,
__normalized_input: 7907000,1088000,5937000,
rare_rewrite_arith-elim-lt: 12704000,11599000,23410000,
rare_rewrite_bool-impl-elim: 26227000,24992000,
rare_rewrite_arith-geq-tighten: 12021000,12432000,22414000,
rare_rewrite_bool-double-not-elim: 119000,135000,122000,

