rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_eq-symm,14816,100962892000,6814450.05399568,4610000,5179000,5745000,8631000,14301000
rare_rewrite_bool-impl-elim,6207,49331558000,7947729.660061222,4767000,5364000,6408000,9569000,20631000
rare_rewrite_bool-and-de-morgan,6591,44551320000,6759417.387346381,1625000,3504000,5899000,9439500,17129000
rare_rewrite_bool-double-not-elim,5342,39298687000,7356549.419692999,4268000,4657000,5333500,8817000,19958000
rare_rewrite_arith-elim-lt,1937,16908074000,8729000.516262261,5532000,6344000,7210000,10173000,22984000
rare_rewrite_eq-refl,1883,13092195000,6952838.555496548,4251000,4575000,5124000,8530500,18135000
rare_rewrite_bool-impl-false1,1068,7380474000,6910556.179775281,4213000,4702250,5467000,8770500,16662000
rare_rewrite_arith-elim-leq,1373,7242969000,5275286.9628550615,4160000,4408000,4642000,5180000,9749000
rare_rewrite_or-not-refl,747,5203904000,6966404.283801874,1875000,3938500,6129000,9412500,16282000
rare_rewrite_bool-eq-false,689,4259956000,6182809.869375907,4198000,4581000,5060000,8294000,12467000
rare_rewrite_bool-or-de-morgan,427,3029471000,7094779.859484778,1713000,3710500,6310000,9473000,17854000
rare_rewrite_ite-not-cond,384,2954107000,7692986.979166667,5793000,6226750,6734500,8096750,15136000
rare_rewrite_ite-eq,276,2166196000,7848536.231884058,5535000,6100000,6737000,8737250,17105000
rare_rewrite_bool-eq-true,359,1929501000,5374654.596100278,4047000,4401000,4609000,5685000,9313000
rare_rewrite_arith-elim-gt,184,1810710000,9840815.217391305,5916000,7211500,8505000,11651000,23928000
rare_rewrite_arith-geq-tighten,93,901551000,9694096.774193548,7146000,7825000,8501000,10530000,18665000
rare_rewrite_bool-implies-de-morgan,67,729686000,10890835.820895523,4889000,5966000,10065000,13357500,23861000
rare_rewrite_bool-not-eq-elim1,78,724373000,9286833.333333334,4771000,5256000,7478000,11993000,20496000
rare_rewrite_arith-leq-norm,61,576507000,9450934.426229509,7268000,7719000,8758000,10051000,16211000
rare_rewrite_bool-eq-nrefl,14,101200000,7228571.428571428,3959000,4675000,5418500,8745000,15181000
rare_rewrite_arith-geq-norm1-real,10,67785000,6778500,4583000,4795250,5227500,6079250,18043000
rare_rewrite_bool-not-ite-elim,2,61622000,30811000,24396000,27603500,30811000,34018500,37226000
rare_rewrite_ite-true-cond,9,56221000,6246777.777777778,4405000,5447000,5860000,7848000,8453000
rare_rewrite_bool-impl-true2,6,44322000,7387000,4362000,4453000,4686500,9157500,15564000
rare_rewrite_bool-not-eq-elim2,5,23751000,4750200,4500000,4573000,4682000,4775000,5221000
rare_rewrite_ite-else-true,1,23120000,23120000,23120000,23120000,23120000,23120000,23120000
rare_rewrite_ite-then-true,3,21165000,7055000,5904000,6361500,6819000,7630500,8442000
rare_rewrite_ite-false-cond,4,20798000,5199500,4759000,5104000,5299000,5394500,5441000
rare_rewrite_eq-ite-lift,2,20435000,10217500,10133000,10175250,10217500,10259750,10302000
rare_rewrite_ite-then-false,2,12809000,6404500,6321000,6362750,6404500,6446250,6488000
rare_rewrite_arith-geq-norm1-int,1,10100000,10100000,10100000,10100000,10100000,10100000,10100000
rare_rewrite_ite-else-false,1,5479000,5479000,5479000,5479000,5479000,5479000,5479000
rare_rewrite_bool-impl-false2,1,4183000,4183000,4183000,4183000,4183000,4183000,4183000
rare_rewrite_bool-or-taut2,1,2242000,2242000,2242000,2242000,2242000,2242000,2242000
