rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_eq-symm,14816,96046127000,6482594.964902808,4730000,5254750,5731500,6839250,11925000
rare_rewrite_bool-and-de-morgan,6593,51033576000,7740569.695131199,4933000,5498000,6433000,9403000,19306000
rare_rewrite_bool-impl-elim,6207,44137956000,7110996.616723055,4900000,5441500,6172000,8389500,14734000
rare_rewrite_bool-double-not-elim,5341,29665927000,5554376.895712414,4311000,4616000,4886000,5563000,9412000
rare_rewrite_arith-elim-lt,1937,16831197000,8689311.822405782,5633000,6547000,7321000,10075000,22116000
rare_rewrite_eq-refl,1883,10087242000,5357005.841741901,4289000,4554500,4789000,5258000,9046000
rare_rewrite_arith-elim-leq,1373,7294643000,5312922.796795338,4248000,4543000,4781000,5268000,9166000
rare_rewrite_bool-impl-false1,1067,6244778000,5852650.421743205,4417000,4781500,5175000,6150000,10389000
rare_rewrite_or-not-refl,747,4267126000,5712350.736278447,4470000,4769500,5062000,5778000,9653000
rare_rewrite_bool-eq-false,689,4003805000,5811037.735849056,4366000,4649000,4990000,6002000,10155000
rare_rewrite_bool-or-de-morgan,427,3330171000,7798995.31615925,4855000,5729500,6403000,8755000,23955000
rare_rewrite_ite-not-cond,384,2965954000,7723838.541666667,5946000,6331000,6818500,8136000,13915000
rare_rewrite_ite-eq,276,2204969000,7989018.115942029,5547000,6298250,6966500,8698250,17077000
rare_rewrite_bool-eq-true,359,1909619000,5319272.980501393,4243000,4494000,4741000,5281500,8787000
rare_rewrite_arith-elim-gt,184,1809844000,9836108.695652174,5976000,7402500,8582500,11752000,22621000
rare_rewrite_arith-geq-tighten,93,906874000,9751333.333333334,7349000,7803000,8538000,10686000,17654000
rare_rewrite_arith-leq-norm,61,591931000,9703786.885245902,7493000,7986000,9021000,9791000,17752000
rare_rewrite_bool-not-eq-elim1,78,427224000,5477230.769230769,4893000,5233500,5404000,5722000,6350000
rare_rewrite_bool-implies-de-morgan,67,380762000,5683014.925373134,4915000,5154000,5488000,5743000,9766000
rare_rewrite_bool-eq-nrefl,14,66028000,4716285.714285715,4323000,4578000,4760500,4841000,5002000
rare_rewrite_arith-geq-norm1-real,10,65276000,6527600,4676000,4733750,5058000,6295750,15066000
rare_rewrite_ite-true-cond,9,57850000,6427777.777777778,4614000,4949000,5225000,8358000,11083000
rare_rewrite_ite-else-true,1,33880000,33880000,33880000,33880000,33880000,33880000,33880000
rare_rewrite_bool-impl-true2,6,30111000,5018500,4302000,4544750,5151000,5360500,5734000
rare_rewrite_bool-not-eq-elim2,5,23582000,4716400,4298000,4523000,4807000,4854000,5100000
rare_rewrite_ite-then-true,3,21685000,7228333.333333333,6236000,6364500,6493000,7724500,8956000
rare_rewrite_eq-ite-lift,2,21331000,10665500,10556000,10610750,10665500,10720250,10775000
rare_rewrite_ite-false-cond,4,20126000,5031500,4897000,4902250,5011000,5140250,5207000
rare_rewrite_bool-not-ite-elim,2,14416000,7208000,7176000,7192000,7208000,7224000,7240000
rare_rewrite_ite-then-false,2,12936000,6468000,6446000,6457000,6468000,6479000,6490000
rare_rewrite_arith-geq-norm1-int,1,10696000,10696000,10696000,10696000,10696000,10696000,10696000
rare_rewrite_bool-or-taut2,1,5822000,5822000,5822000,5822000,5822000,5822000,5822000
rare_rewrite_ite-else-false,1,5689000,5689000,5689000,5689000,5689000,5689000,5689000
rare_rewrite_bool-impl-false2,1,4389000,4389000,4389000,4389000,4389000,4389000,4389000
