1; Draft.Scratch_smt_check_7_5174; 2026-04-10 13:49:39.549;
bind: 254000,294000,278000,
cong: 118000,130000,
refl: 39000,46000,
trans: 144000,164000,150000,171000,
or_pos: 214000,260000,
implies: 210000,
parsing: 4088000,
aci_simp: 1034000,1043000,
subproof: 1638000,
equiv_pos2: 166000,147000,180000,
reordering: 252000,357000,
resolution: 281000,316000,283000,199000,232000,336000,386000,448000,301000,307000,
contraction: 341000,
forall_inst: 814000,811000,
implies_neg1: 305000,
implies_neg2: 291000,
__local_input: 150000,
__normalized_input: 9290000,5286000,468000,500000,631000,
rare_rewrite_bool-impl-elim: 6797000,6900000,6471000,
rare_rewrite_bool-and-de-morgan: 6289000,7054000,

