1; Draft.Scratch_smt_check_7_3004; 2026-04-10 13:47:35.348;
and: 100000,84000,84000,121000,
bind: 370000,413000,363000,394000,365000,420000,386000,349000,
cong: 230000,117000,66000,219000,100000,54000,74000,65000,77000,50000,74000,196000,225000,161000,180000,67000,181000,109000,45000,59000,79000,270000,107000,63000,225000,98000,51000,74000,55000,79000,51000,65000,76000,194000,218000,167000,178000,58000,183000,112000,339000,199000,108000,81000,
refl: 25000,39000,33000,26000,37000,25000,35000,53000,38000,17000,19000,24000,37000,32000,26000,37000,24000,58000,19000,33000,58000,37000,25000,39000,38000,
symm: 84000,89000,64000,69000,76000,79000,64000,76000,
trans: 336000,344000,328000,250000,274000,246000,237000,251000,230000,104000,88000,446000,350000,89000,398000,271000,297000,258000,236000,254000,241000,253000,135000,106000,
or_pos: 322000,
implies: 347000,
parsing: 23788000,
aci_simp: 1242000,1109000,1240000,2218000,1097000,1313000,1053000,
evaluate: 241000,
subproof: 2576000,
equiv_pos2: 57000,262000,28000,40000,27000,48000,242000,384000,
reordering: 310000,
resolution: 330000,361000,230000,272000,207000,172000,463000,527000,635000,401000,384000,201000,223000,
contraction: 646000,
forall_inst: 1052000,
and_simplify: 480000,
implies_neg1: 447000,
implies_neg2: 450000,
__local_input: 112000,
__normalized_input: 1739000,635000,725000,635000,1173000,1355000,1296000,1257000,
rare_rewrite_eq-refl: 102000,
rare_rewrite_eq-symm: 116000,86000,91000,108000,77000,98000,133000,86000,90000,87000,107000,
rare_rewrite_bool-impl-elim: 7041000,8365000,
rare_rewrite_bool-or-de-morgan: 7027000,7381000,
rare_rewrite_bool-and-de-morgan: 7025000,7047000,8040000,7006000,

