1; Draft.Scratch_smt_check_7_257; 2026-04-10 13:45:05.320;
and: 62000,64000,68000,74000,
bind: 554000,943000,386000,397000,386000,383000,
cong: 305000,199000,180000,188000,456000,552000,188000,185000,
refl: 48000,81000,30000,41000,154000,
trans: 481000,385000,409000,312000,304000,280000,277000,539000,392000,379000,
equiv1: 457000,
or_pos: 760000,
and_pos: 177000,
parsing: 48018000,
aci_simp: 1512000,1117000,1783000,2534000,1861000,
equiv_pos2: 772000,264000,
reordering: 265000,1238000,
resolution: 372000,578000,395000,307000,381000,307000,
forall_inst: 1796000,
__normalized_input: 2330000,1120000,770000,729000,823000,
rare_rewrite_bool-impl-elim: 11933000,11039000,11339000,
rare_rewrite_bool-and-de-morgan: 5457000,6181000,23645000,11453000,

