1; Draft.Scratch_smt_check_7_4433; 2026-04-10 13:45:05.416;
and: 99000,124000,171000,
cong: 135000,122000,71000,233000,129000,128000,74000,188000,130000,66000,88000,152000,219000,209000,119000,376000,164000,98000,167000,264000,1014000,
refl: 26000,46000,182000,137000,89000,178000,
symm: 121000,174000,119000,164000,93000,248000,223000,273000,187000,442000,
trans: 104000,208000,188000,251000,252000,370000,321000,449000,470000,
equiv1: 419000,454000,
equiv2: 258000,262000,505000,
or_neg: 398000,397000,381000,406000,415000,
and_pos: 301000,310000,1059000,981000,916000,1031000,1118000,
implies: 195000,700000,
not_and: 404000,
not_not: 200000,349000,
parsing: 24391000,
evaluate: 162000,
subproof: 1044000,1142000,2994000,
and_intro: 535000,
equiv_pos2: 141000,505000,140000,168000,27000,279000,330000,1389000,
reordering: 616000,5896000,
resolution: 237000,259000,200000,163000,198000,284000,342000,312000,184000,196000,864000,2870000,417000,270000,366000,293000,493000,140000,188000,202000,221000,198000,258000,288000,211000,161000,196000,1579000,1209000,3733000,338000,380000,401000,426000,495000,321000,263000,383000,364000,
contraction: 303000,1259000,389000,388000,14483000,2264000,
forall_inst: 754000,800000,703000,746000,727000,760000,659000,743000,1396000,1226000,1350000,1388000,
implies_neg1: 266000,470000,2069000,
implies_neg2: 280000,264000,1727000,
__local_input: 47000,45000,42000,75000,76000,41000,77000,94000,
equiv_simplify: 310000,349000,668000,611000,
implies_simplify: 512000,
__normalized_input: 1760000,1565000,1630000,1005000,946000,
rare_rewrite_eq-symm: 200000,228000,487000,
rare_rewrite_bool-eq-false: 5705000,6020000,11064000,11362000,
rare_rewrite_bool-double-not-elim: 537000,

