1; Draft.Scratch_smt_check_7_18009; 2026-04-10 13:45:05.997;
and: 53000,56000,56000,80000,
bind: 526000,616000,202000,281000,153000,
cong: 50000,43000,46000,290000,193000,171000,170000,269000,282000,188000,120000,124000,236000,106000,261000,117000,85000,72000,72000,88000,72000,69000,636000,
refl: 53000,53000,18000,28000,63000,29000,108000,79000,104000,62000,
symm: 157000,199000,139000,
trans: 97000,434000,367000,384000,314000,279000,251000,246000,268000,191000,142000,227000,170000,172000,
choice: 67000,
equiv1: 852000,
equiv2: 209000,188000,
or_neg: 145000,169000,126000,151000,232000,239000,255000,280000,237000,228000,252000,
or_pos: 176000,407000,
and_neg: 156000,
and_pos: 60000,67000,500000,519000,556000,536000,637000,561000,530000,532000,503000,623000,
implies: 167000,846000,
not_and: 267000,
not_not: 186000,
parsing: 40586000,
aci_simp: 1492000,1088000,1009000,1340000,
evaluate: 258000,
subproof: 1040000,2167000,2571000,
and_intro: 516000,
equiv_pos2: 50000,411000,120000,92000,113000,215000,91000,48000,95000,657000,
reordering: 180000,182000,106000,118000,217000,633000,2686000,3167000,
resolution: 223000,203000,162000,341000,556000,369000,189000,731000,224000,255000,185000,202000,333000,471000,372000,315000,280000,173000,659000,2182000,12195000,466000,712000,512000,2373000,237000,246000,336000,280000,280000,228000,363000,1083000,929000,2713000,334000,283000,298000,
sko_forall: 1098000,
contraction: 209000,307000,272000,741000,690000,940000,1321000,1528000,
forall_inst: 669000,950000,610000,712000,1181000,1252000,1262000,1232000,
implies_neg1: 237000,844000,1241000,
implies_neg2: 227000,507000,1228000,
__local_input: 41000,30000,37000,85000,43000,40000,53000,41000,41000,31000,40000,
equiv_simplify: 335000,302000,
implies_simplify: 1038000,
__normalized_input: 3263000,1593000,1687000,1000000,807000,929000,835000,698000,823000,
rare_rewrite_bool-impl-elim: 6043000,5577000,5674000,
rare_rewrite_bool-and-de-morgan: 5361000,5688000,5754000,5819000,
rare_rewrite_bool-double-not-elim: 80000,78000,194000,142000,151000,220000,

