1; Draft.Scratch_smt_check_7_15475; 2026-04-10 13:42:50.597;
cong: 326000,131000,161000,129000,138000,
refl: 27000,36000,48000,
trans: 325000,340000,329000,
and_neg: 1133000,
and_pos: 1008000,1106000,1044000,980000,934000,976000,984000,1001000,
implies: 289000,1114000,
parsing: 8692000,
subproof: 2035000,2841000,
equiv_pos2: 455000,
reordering: 1942000,8850000,
resolution: 356000,171000,150000,174000,228000,286000,339000,326000,288000,489000,495000,484000,317000,2266000,1291000,956000,5567000,332000,300000,320000,284000,261000,272000,266000,940000,
contraction: 480000,1632000,2497000,
forall_inst: 675000,624000,755000,14225000,1206000,1415000,1265000,1295000,1258000,1249000,1457000,1223000,1161000,1269000,1228000,1381000,
implies_neg1: 417000,2030000,
implies_neg2: 430000,1248000,
__local_input: 76000,50000,69000,57000,43000,29000,47000,27000,65000,
__normalized_input: 1640000,1555000,1679000,1601000,1526000,1275000,1621000,934000,852000,
rare_rewrite_eq-symm: 326000,

