1; Draft.Scratch_smt_check_7_13601; 2026-04-10 13:49:39.623;
bind: 246000,242000,254000,247000,
cong: 101000,73000,84000,64000,79000,108000,106000,85000,63000,80000,124000,94000,212000,101000,100000,73000,46000,48000,45000,62000,84000,74000,46000,56000,
refl: 20000,33000,21000,32000,39000,15000,17000,
symm: 90000,161000,
false: 13000,
trans: 146000,226000,231000,199000,161000,
equiv2: 168000,151000,
implies: 223000,
not_not: 152000,
parsing: 6148000,
aci_simp: 1166000,
evaluate: 255000,
subproof: 1201000,
equiv_pos2: 161000,154000,264000,36000,51000,56000,64000,42000,
reordering: 293000,
resolution: 185000,173000,183000,218000,201000,202000,282000,307000,362000,352000,204000,297000,251000,203000,175000,235000,246000,
contraction: 347000,
forall_inst: 746000,801000,
implies_neg1: 314000,
implies_neg2: 306000,
__local_input: 152000,
equiv_simplify: 258000,229000,
__normalized_input: 39027000,3686000,3181000,3132000,2242000,2136000,1049000,
rare_rewrite_eq-refl: 120000,
rare_rewrite_eq-symm: 97000,124000,91000,124000,189000,

