1; Draft.Scratch_smt_check_7_9061; 2026-04-10 13:49:39.546;
bind: 348000,358000,
cong: 150000,79000,144000,82000,
refl: 65000,54000,
trans: 210000,238000,146000,227000,239000,143000,
or_pos: 284000,
implies: 280000,
parsing: 18557000,
aci_simp: 1192000,1128000,
subproof: 1640000,
equiv_pos2: 205000,218000,
reordering: 332000,
resolution: 278000,322000,315000,425000,457000,303000,355000,
contraction: 379000,
forall_inst: 865000,
implies_neg1: 365000,
implies_neg2: 339000,
__local_input: 153000,
__normalized_input: 3900000,2607000,2553000,3184000,
rare_rewrite_bool-impl-elim: 6364000,6534000,
rare_rewrite_bool-and-de-morgan: 5851000,5872000,
rare_rewrite_bool-double-not-elim: 124000,133000,

