1; Draft.Scratch_smt_check_7_17204; 2026-04-10 13:49:19.104;
bind: 188000,224000,177000,234000,
cong: 71000,81000,43000,72000,60000,78000,
refl: 25000,18000,22000,
symm: 97000,113000,
trans: 186000,185000,
or_pos: 210000,
implies: 157000,
parsing: 2043000,
subproof: 1435000,
equiv_pos2: 90000,37000,89000,
reordering: 220000,
resolution: 243000,285000,218000,234000,293000,342000,250000,297000,
contraction: 236000,
forall_inst: 777000,
implies_neg1: 268000,
implies_neg2: 199000,
__local_input: 264000,
__normalized_input: 5732000,4932000,4626000,5255000,
rare_rewrite_bool-impl-elim: 6223000,6194000,

