1; Draft.Scratch_smt_check_7_28419; 2026-04-10 13:48:26.353;
bind: 244000,210000,428000,349000,
cong: 98000,147000,
trans: 200000,364000,
or_pos: 420000,
implies: 468000,
parsing: 2690000,
not_symm: 225000,
subproof: 2944000,
equiv_pos2: 236000,204000,
reordering: 483000,
resolution: 233000,301000,548000,574000,613000,390000,496000,
contraction: 474000,
forall_inst: 1339000,
implies_neg1: 449000,
implies_neg2: 418000,
__local_input: 156000,
__normalized_input: 2640000,2389000,2552000,
rare_rewrite_eq-symm: 187000,245000,
rare_rewrite_bool-impl-elim: 6410000,12152000,

