1; Draft.Scratch_smt_check_7_7881; 2026-04-10 13:43:45.606;
bind: 332000,293000,374000,338000,303000,
cong: 108000,77000,59000,88000,164000,201000,92000,158000,167000,
refl: 21000,36000,
symm: 116000,96000,118000,96000,190000,
false: 12000,
trans: 186000,152000,136000,304000,
choice: 39000,48000,81000,
equiv2: 168000,278000,
or_neg: 169000,170000,206000,189000,
or_pos: 311000,400000,
not_not: 174000,
parsing: 14988000,
evaluate: 381000,
equiv_pos1: 68000,
equiv_pos2: 253000,117000,283000,76000,174000,13073000,61000,
reordering: 455000,294000,467000,227000,653000,
resolution: 113000,159000,177000,191000,239000,184000,175000,180000,196000,179000,188000,166000,202000,226000,227000,239000,327000,211000,165000,317000,275000,297000,347000,205000,221000,255000,265000,344000,
sko_forall: 953000,2412000,
contraction: 269000,
forall_inst: 701000,659000,710000,747000,696000,912000,868000,777000,868000,1032000,808000,
equiv_simplify: 275000,443000,
__normalized_input: 15475000,9845000,5403000,4817000,4427000,1530000,1108000,1000000,
rare_rewrite_bool-impl-elim: 6433000,6803000,6634000,
rare_rewrite_bool-double-not-elim: 214000,

