1; Draft.Scratch_smt_check_7_10180; 2026-04-10 13:48:49.626;
cong: 196000,144000,127000,93000,221000,
refl: 28000,32000,
trans: 367000,409000,
implies: 352000,
parsing: 2186000,
subproof: 2247000,
equiv_pos2: 263000,103000,237000,
resolution: 301000,423000,378000,504000,561000,341000,486000,
contraction: 472000,
forall_inst: 1365000,
implies_neg1: 463000,
implies_neg2: 413000,
__local_input: 151000,
connective_def: 603000,576000,
__normalized_input: 1036000,920000,1172000,
rare_rewrite_bool-double-not-elim: 391000,376000,

