1; Draft.Scratch_smt_check_7_25121; 2026-04-10 13:49:58.633;
bind: 307000,287000,309000,
cong: 173000,106000,
refl: 88000,36000,80000,
symm: 247000,
trans: 256000,233000,247000,194000,
or_pos: 262000,243000,
implies: 218000,
parsing: 2516000,
aci_simp: 1110000,
subproof: 1518000,
equiv_pos2: 162000,145000,156000,
reordering: 344000,282000,
resolution: 410000,359000,243000,195000,280000,288000,316000,415000,416000,256000,330000,
contraction: 334000,
forall_inst: 739000,833000,1164000,
implies_neg1: 321000,
implies_neg2: 309000,
__local_input: 272000,
__normalized_input: 15058000,14313000,1253000,1069000,1323000,
rare_rewrite_bool-impl-elim: 6669000,6276000,6688000,
rare_rewrite_bool-and-de-morgan: 5901000,
rare_rewrite_bool-double-not-elim: 142000,

