1; Draft.Scratch_smt_check_7_10187; 2026-04-10 13:44:36.829;
and: 113000,113000,120000,
bind: 222000,453000,341000,319000,
cong: 136000,258000,98000,225000,
refl: 66000,57000,54000,
symm: 111000,129000,
trans: 129000,
choice: 74000,
equiv1: 238000,
equiv2: 122000,118000,
or_neg: 290000,351000,219000,233000,270000,
or_pos: 307000,363000,276000,333000,
and_pos: 182000,184000,173000,179000,247000,173000,
implies: 187000,235000,
not_and: 309000,
not_not: 155000,
parsing: 24554000,
evaluate: 309000,
subproof: 1997000,2059000,2163000,
and_intro: 202000,
equiv_neg1: 61000,
equiv_neg2: 55000,
equiv_pos1: 90000,89000,
equiv_pos2: 225000,325000,109000,92000,126000,235000,171000,47000,182000,192000,
reordering: 359000,365000,475000,274000,394000,388000,465000,589000,317000,661000,358000,
resolution: 163000,166000,208000,263000,325000,401000,466000,283000,698000,651000,280000,303000,453000,451000,426000,442000,404000,562000,531000,300000,333000,340000,342000,890000,227000,219000,301000,229000,318000,349000,392000,440000,431000,977000,418000,348000,408000,
sko_forall: 1753000,
contraction: 441000,334000,494000,255000,329000,406000,460000,
forall_inst: 1336000,1343000,1254000,1347000,1233000,1250000,
implies_neg1: 272000,254000,325000,
implies_neg2: 268000,204000,330000,
__local_input: 58000,24000,35000,33000,24000,25000,38000,
equiv_simplify: 261000,326000,
implies_simplify: 365000,
__normalized_input: 5867000,1282000,5153000,1236000,1198000,1116000,
rare_rewrite_bool-impl-elim: 27754000,12900000,12088000,25060000,
rare_rewrite_bool-double-not-elim: 270000,155000,

