1; Draft.Scratch_smt_check_7_24085; 2026-04-10 13:45:16.341;
bind: 251000,318000,267000,293000,
cong: 184000,104000,118000,76000,84000,185000,
refl: 106000,26000,102000,
symm: 125000,117000,142000,
trans: 247000,248000,229000,250000,248000,243000,243000,253000,265000,
implies: 216000,
parsing: 2906000,
aci_simp: 1880000,1819000,1768000,1871000,
subproof: 2103000,
equiv_pos2: 56000,179000,126000,53000,154000,
resolution: 258000,339000,334000,330000,423000,434000,271000,356000,346000,
contraction: 368000,
forall_inst: 3998000,
implies_neg1: 329000,
implies_neg2: 310000,
__local_input: 104000,
miniscope_split: 536000,415000,
__normalized_input: 12983000,830000,823000,860000,
rare_rewrite_eq-symm: 197000,
rare_rewrite_bool-eq-false: 11116000,11389000,
rare_rewrite_bool-impl-elim: 11536000,13045000,

