1; Draft.Scratch_smt_check_7_9200; 2026-04-10 13:48:54.915;
cong: 53000,104000,88000,141000,289000,
refl: 64000,51000,58000,
symm: 125000,
trans: 114000,318000,255000,
equiv1: 191000,271000,
equiv2: 134000,105000,209000,
or_neg: 196000,188000,191000,203000,
and_pos: 146000,162000,320000,301000,319000,316000,
implies: 204000,
not_and: 210000,
not_not: 130000,279000,
parsing: 2459000,
evaluate: 243000,
subproof: 1091000,2318000,
and_intro: 300000,
equiv_pos2: 33000,292000,
reordering: 291000,1260000,
resolution: 225000,199000,544000,1478000,227000,223000,238000,250000,422000,174000,184000,210000,167000,217000,359000,528000,1558000,334000,326000,397000,406000,
contraction: 426000,189000,213000,297000,770000,
forall_inst: 790000,758000,1479000,
implies_neg1: 207000,556000,
implies_neg2: 154000,279000,
__local_input: 37000,91000,101000,39000,40000,132000,
equiv_simplify: 198000,179000,359000,443000,
implies_simplify: 262000,
__normalized_input: 2775000,1055000,944000,1095000,
rare_rewrite_bool-double-not-elim: 245000,

