1; Draft.Scratch_smt_check_7_24215; 2026-04-10 13:46:19.503;
and: 162000,201000,167000,
bind: 766000,739000,428000,
cong: 284000,200000,271000,192000,92000,194000,195000,265000,204000,186000,106000,156000,
refl: 106000,65000,27000,52000,104000,82000,76000,41000,
symm: 168000,
false: 13000,
trans: 153000,585000,455000,506000,378000,241000,379000,367000,232000,
equiv2: 438000,224000,
or_pos: 606000,
not_not: 340000,
parsing: 9792000,
aci_simp: 2377000,
evaluate: 337000,
not_symm: 143000,
equiv_pos2: 560000,286000,51000,
reordering: 1074000,
resolution: 112000,157000,306000,13808000,594000,549000,473000,283000,507000,308000,306000,312000,
forall_inst: 1828000,1373000,1277000,1428000,
equiv_simplify: 598000,363000,
__normalized_input: 2020000,1911000,1122000,950000,1198000,1176000,
miniscope_distribute: 557000,
rare_rewrite_eq-symm: 159000,209000,
rare_rewrite_bool-impl-elim: 12341000,
rare_rewrite_bool-and-de-morgan: 11990000,
rare_rewrite_bool-double-not-elim: 178000,

