1; Draft.Scratch_smt_check_7_9061; 2026-04-10 13:45:44.952;
bind: 300000,480000,457000,461000,
cong: 154000,496000,309000,397000,223000,113000,198000,
refl: 18000,58000,
symm: 220000,
false: 13000,
trans: 114000,335000,133000,221000,264000,
equiv2: 154000,326000,
or_pos: 212000,477000,629000,
implies: 11400000,348000,
not_not: 259000,
parsing: 27281000,
aci_simp: 1774000,1933000,
evaluate: 256000,292000,
subproof: 2828000,2712000,
equiv_pos1: 143000,
equiv_pos2: 176000,88000,719000,343000,381000,563000,350000,126000,65000,
reordering: 187000,301000,830000,482000,552000,888000,
resolution: 97000,137000,160000,192000,223000,296000,149000,172000,190000,326000,571000,732000,763000,456000,289000,483000,471000,688000,660000,358000,457000,295000,436000,529000,428000,356000,323000,314000,330000,420000,
contraction: 737000,625000,
forall_inst: 723000,726000,1484000,1405000,1489000,1395000,1346000,
implies_neg1: 643000,541000,
implies_neg2: 716000,542000,
__local_input: 129000,120000,
equiv_simplify: 243000,440000,
__normalized_input: 2359000,2204000,2009000,2115000,811000,794000,901000,
rare_rewrite_eq-refl: 123000,
rare_rewrite_eq-symm: 324000,276000,
rare_rewrite_bool-impl-elim: 5980000,11488000,11751000,11775000,
rare_rewrite_bool-and-de-morgan: 11324000,

