1; Draft.Scratch_smt_check_7_11308; 2026-04-10 13:44:55.953;
bind: 394000,274000,357000,399000,312000,
cong: 131000,91000,237000,166000,120000,231000,123000,185000,199000,222000,196000,198000,
refl: 28000,64000,178000,67000,
symm: 132000,
trans: 360000,363000,253000,284000,221000,271000,245000,257000,225000,
equiv1: 365000,
parsing: 11288000,
aci_simp: 2120000,1891000,2021000,
equiv_pos2: 114000,54000,265000,399000,289000,
reordering: 904000,
resolution: 284000,381000,326000,440000,336000,387000,506000,
forall_inst: 1731000,
connective_def: 527000,
miniscope_split: 492000,
__normalized_input: 1562000,1728000,6104000,741000,1031000,827000,
rare_rewrite_bool-eq-false: 11905000,
rare_rewrite_bool-impl-elim: 12095000,
rare_rewrite_bool-and-de-morgan: 12044000,18354000,
rare_rewrite_bool-double-not-elim: 249000,174000,

