1; Draft.Scratch_smt_check_7_23328; 2026-04-10 13:44:36.435;
cong: 105000,
symm: 154000,227000,
trans: 259000,
and_neg: 479000,
and_pos: 426000,408000,377000,
implies: 468000,
parsing: 1695000,
subproof: 2215000,
reordering: 688000,1281000,
resolution: 359000,366000,322000,762000,674000,569000,1355000,312000,383000,
contraction: 721000,701000,
forall_inst: 1326000,1379000,1300000,1414000,
implies_neg1: 678000,
implies_neg2: 529000,
__local_input: 49000,61000,90000,
__normalized_input: 8152000,3608000,3309000,3648000,

