1; Draft.Scratch_smt_check_7_16396; 2026-04-10 13:50:11.963;
bind: 471000,477000,
cong: 196000,171000,140000,196000,194000,144000,
refl: 54000,44000,141000,52000,43000,151000,
trans: 397000,324000,341000,233000,244000,270000,422000,349000,362000,232000,251000,420000,
or_pos: 378000,
implies: 385000,
parsing: 25311000,
aci_simp: 1294000,1144000,1652000,1273000,
subproof: 2210000,
equiv_pos2: 277000,321000,
reordering: 491000,
resolution: 391000,404000,421000,692000,689000,427000,419000,
contraction: 560000,
forall_inst: 1157000,
implies_neg1: 586000,
implies_neg2: 502000,
__local_input: 210000,
__normalized_input: 1657000,1349000,1313000,1323000,1895000,
rare_rewrite_bool-impl-elim: 7777000,9110000,
rare_rewrite_bool-and-de-morgan: 6996000,7382000,7765000,7702000,
rare_rewrite_bool-double-not-elim: 172000,206000,

