1; Draft.Scratch_smt_check_7_12577; 2026-04-10 13:45:02.866;
and: 142000,132000,148000,171000,
bind: 643000,587000,627000,392000,
cong: 437000,347000,363000,264000,168000,387000,377000,156000,90000,
refl: 148000,226000,
symm: 513000,
trans: 540000,554000,660000,510000,381000,516000,534000,192000,275000,250000,213000,
or_neg: 156000,168000,
or_pos: 295000,572000,
and_pos: 297000,
parsing: 32480000,
aci_simp: 2431000,1868000,1799000,
not_symm: 96000,
qnt_join: 607000,
equiv_pos1: 95000,98000,
equiv_pos2: 560000,
reordering: 380000,409000,408000,397000,739000,
resolution: 488000,484000,540000,368000,338000,248000,386000,273000,241000,413000,301000,
forall_inst: 1598000,1362000,1282000,
qnt_rm_unused: 268000,
miniscope_split: 997000,
__normalized_input: 4464000,1131000,1358000,712000,959000,
miniscope_distribute: 632000,
rare_rewrite_eq-symm: 130000,
rare_rewrite_bool-impl-elim: 12655000,11796000,
rare_rewrite_bool-and-de-morgan: 11214000,11513000,
rare_rewrite_bool-double-not-elim: 149000,122000,148000,

