1; Draft.Scratch_smt_check_7_22340; 2026-04-10 13:45:02.447;
and: 163000,
bind: 264000,360000,280000,473000,401000,
cong: 128000,351000,136000,89000,302000,207000,
refl: 48000,449000,140000,156000,61000,
symm: 199000,329000,328000,
trans: 202000,379000,373000,388000,249000,188000,114000,291000,222000,247000,382000,423000,235000,
equiv1: 238000,
equiv2: 170000,
and_pos: 197000,504000,
parsing: 32256000,
aci_simp: 1679000,1767000,
evaluate: 304000,
onepoint: 1686000,
qnt_join: 337000,
equiv_pos2: 102000,147000,360000,138000,
reordering: 589000,361000,289000,539000,
resolution: 295000,223000,302000,308000,242000,249000,293000,358000,254000,222000,466000,329000,
forall_inst: 1440000,1465000,1135000,1347000,
qnt_rm_unused: 502000,1949000,
equiv_simplify: 325000,353000,
__normalized_input: 3220000,5453000,1725000,1074000,
miniscope_distribute: 759000,
rare_rewrite_eq-refl: 108000,
rare_rewrite_or-not-refl: 11802000,
rare_rewrite_bool-impl-elim: 11491000,
rare_rewrite_bool-or-and-distrib: 11871000,
rare_rewrite_bool-double-not-elim: 179000,
rare_rewrite_bool-implies-de-morgan: 11382000,

