1; Draft.Scratch_smt_check_7_14862; 2026-04-10 13:44:36.363;
bind: 294000,388000,473000,
cong: 195000,191000,
refl: 110000,100000,
symm: 164000,
trans: 247000,255000,250000,286000,
equiv1: 201000,
parsing: 8401000,
aci_simp: 1884000,1846000,
equiv_pos2: 55000,172000,371000,128000,
reordering: 515000,
resolution: 330000,251000,344000,360000,315000,441000,
forall_inst: 2868000,
connective_def: 422000,
miniscope_split: 399000,
__normalized_input: 1121000,5048000,955000,931000,
rare_rewrite_bool-eq-false: 19741000,
rare_rewrite_bool-impl-elim: 23107000,

