1; Draft.Scratch_smt_check_7_2421; 2026-04-10 13:43:18.563;
and: 117000,115000,104000,
bind: 275000,378000,240000,274000,
cong: 134000,238000,78000,201000,
refl: 64000,49000,46000,
symm: 99000,110000,
trans: 125000,
choice: 62000,
equiv1: 234000,
equiv2: 109000,123000,
or_neg: 255000,276000,237000,217000,223000,
or_pos: 278000,387000,264000,297000,
and_pos: 156000,171000,169000,163000,166000,180000,
implies: 203000,239000,
not_and: 239000,
not_not: 133000,
parsing: 21799000,
evaluate: 327000,
subproof: 1972000,1941000,3338000,
and_intro: 177000,
equiv_neg1: 56000,
equiv_neg2: 54000,
equiv_pos1: 83000,84000,
equiv_pos2: 158000,287000,80000,91000,165000,235000,188000,61000,186000,237000,
reordering: 326000,343000,359000,258000,339000,378000,449000,579000,340000,702000,317000,
resolution: 269000,261000,316000,351000,286000,350000,466000,250000,607000,548000,270000,259000,430000,441000,407000,397000,332000,523000,490000,257000,266000,316000,325000,831000,220000,236000,253000,202000,265000,297000,340000,530000,447000,4413000,247000,307000,372000,
sko_forall: 1623000,
contraction: 333000,286000,412000,263000,300000,385000,435000,
forall_inst: 1146000,1353000,1146000,1257000,1358000,1273000,
implies_neg1: 251000,237000,334000,
implies_neg2: 230000,163000,322000,
__local_input: 47000,22000,24000,28000,23000,19000,22000,
equiv_simplify: 253000,248000,
implies_simplify: 342000,
__normalized_input: 1545000,1187000,4985000,888000,911000,903000,
rare_rewrite_bool-impl-elim: 11653000,11612000,11379000,30493000,
rare_rewrite_bool-double-not-elim: 216000,127000,

