rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_bool-and-de-morgan,7006,53322171000,7610929.346274622,5690000,6118000,6510000,7735750,13564000
rare_rewrite_bool-impl-elim,6318,51268697000,8114703.545425768,5883000,6300000,6739500,11245750,15461000
__normalized_input,15051,48830194000,3244315.593648263,706000,1119000,1881000,4242500,14896000
parsing,2512,48312959000,19232865.843949046,231000,3344500,9886000,24948500,102414000
resolution,88847,31213069000,351312.5823044109,168000,236000,309000,419000,960000
poly_simp,7286,18367724000,2520961.295635465,1549000,1817000,2288000,3030000,5388000
trans,51520,14242561000,276447.224378882,111000,180000,240000,338000,719000
forall_inst,14324,14097039000,984155.1940798659,666000,761000,859000,1232000,1708000
rare_rewrite_arith-elim-lt,1689,13103484000,7758131.438721137,5597000,6057000,6459000,9081000,15193000
aci_simp,9370,12699172000,1355301.173959445,947000,1051000,1168000,1587500,2512000
subproof,7397,11904155000,1609322.0224415304,1043000,1160000,1385000,2044000,3182000
cong,74711,11471466000,153544.53828753464,53000,88000,129000,193000,465000
rare_rewrite_arith-elim-leq,1256,9601555000,7644550.159235668,5654000,6034250,6440500,8465250,14220000
rare_rewrite_or-not-refl,1009,8046426000,7974654.112983151,5983000,6411000,6771000,8691000,14025000
bind,24648,8020953000,325420.0340798442,162000,229000,293000,392000,724000
rare_rewrite_bool-impl-false1,1024,7996993000,7809563.4765625,5749000,6199500,6681000,8326250,14818000
reordering,14411,7434305000,515877.1077649018,190000,283000,402000,614000,2190000
contraction,12878,6617504000,513861.1585649946,192000,297000,411000,625000,1776000
equiv_pos2,27631,5904733000,213699.57656255655,47000,117000,177000,278000,669000
rare_rewrite_bool-eq-false,710,5530160000,7788957.746478873,5663000,6068000,6514000,10282500,14308000
and_pos,11404,5520502000,484084.70712030865,113000,207000,332000,604000,2675000
poly_simp_rel,4073,5158837000,1266593.9111220231,939000,1021000,1097000,1381000,2167000
la_generic,309,3479633000,11260948.220064726,5122000,7660000,10209000,13360000,25501000
implies_neg1,7406,3383541000,456864.8393194707,159000,268000,377000,561000,1471000
or_neg,10085,3164416000,313774.516608825,146000,194000,263000,379000,906000
implies_neg2,7418,3063168000,412937.17983283906,145000,247000,346000,510000,1246000
rare_rewrite_ite-not-cond,386,2767753000,7170344.559585492,5493000,6006500,6514000,7168000,13736000
rare_rewrite_bool-or-de-morgan,363,2705971000,7454465.564738292,5817000,6281000,6618000,7485000,13437000
rare_rewrite_bool-eq-true,350,2639393000,7541122.857142857,5800000,6137250,6502500,7446750,16339000
rare_rewrite_eq-symm,14878,2351446000,158048.52802796074,82000,110000,140000,192000,361000
implies,7241,2235740000,308761.22082585277,128000,195000,262000,376000,886000
symm,10671,1965898000,184228.09483647268,74000,108000,156000,234000,499000
rare_rewrite_ite-eq,240,1900056000,7916900,5985000,6451250,6891000,8347000,14971000
qnt_rm_unused,1543,1738358000,1126609.202851588,279000,452000,878000,1564000,4137000
or_pos,5108,1680803000,329053.0540328896,188000,238000,300000,397000,662000
sko_forall,917,1664430000,1815081.788440567,961000,1163000,1591000,2162000,4687000
hole,2,1615213000,807606500,761556000,784581250,807606500,830631750,853657000
onepoint,1010,1610123000,1594181.188118812,958000,1106250,1414000,1858500,3947000
refl,28325,1600025000,56488.08473080318,19000,29000,42000,69000,252000
equiv_simplify,4935,1539033000,311860.79027355625,160000,199000,274000,389000,774000
rare_rewrite_arith-elim-gt,178,1416854000,7959853.93258427,5890000,6229000,6589500,10607000,17547000
rare_rewrite_bool-or-and-distrib,162,1218132000,7519333.333333333,5940000,6311000,6617000,7172500,12512000
__local_input,15075,1015373000,67354.75953565506,21000,36000,58000,91000,181000
rare_rewrite_bool-double-not-elim,5637,1002255000,177799.36136242683,91000,116000,152000,220000,447000
evaluate,3530,975313000,276292.6345609065,162000,214000,260000,325000,491000
equiv1,3369,933263000,277014.8411991689,90000,143000,216000,343000,1052000
equiv2,3000,619464000,206488,88000,125000,180000,261000,548000
rare_rewrite_bool-implies-de-morgan,85,582295000,6850529.411764706,5437000,5661000,6008000,6979000,12172000
rare_rewrite_arith-geq-tighten,72,574168000,7974555.555555556,5786000,5980250,6256000,11189000,12845000
rare_rewrite_arith-leq-norm,73,539149000,7385602.7397260275,5616000,5949000,6257000,7220000,12904000
connective_def,1282,486849000,379757.41029641184,205000,276250,341000,458500,840000
implies_simplify,892,486539000,545447.3094170403,196000,290750,435000,682000,1727000
and_intro,1727,486458000,281678.0544296468,101000,160000,231000,344500,909000
miniscope_split,582,397218000,682505.1546391753,273000,389000,513000,811250,2461000
rare_rewrite_bool-not-eq-elim1,54,396590000,7344259.259259259,5643000,5946750,6343000,7994750,12415000
qnt_join,1052,391777000,372411.5969581749,211000,264750,336000,438000,803000
and_neg,1049,388726000,370568.1601525262,159000,221000,321000,458000,1110000
rare_rewrite_eq-refl,2037,297266000,145933.23514973,76000,95000,122000,174000,436000
not_not,1501,286582000,190927.381745503,111000,136000,170000,235000,370000
not_and,794,278678000,350979.84886649874,157000,221250,302500,431000,934000
and,1113,200920000,180521.11410601976,83000,111000,152000,217000,472000
la_mult_neg,478,184640000,386276.15062761505,229000,295000,356500,456250,745000
comp_simplify,95,159813000,1682242.105263158,1310000,1372500,1458000,1648000,2928000
rare_rewrite_ite-true-cond,18,135708000,7539333.333333333,6104000,6469250,6642500,7276250,11519000
equiv_pos1,1258,129509000,102948.33068362481,38000,60000,87500,129000,287000
miniscope_distribute,155,104192000,672206.4516129033,348000,391500,523000,832500,1968000
rare_rewrite_bool-or-taut2,12,97689000,8140750,5998000,6123250,6448000,11161500,13017000
rare_rewrite_arith-geq-norm1-real,11,77253000,7023000,5782000,6004500,6600000,7349500,11296000
rare_rewrite_bool-eq-nrefl,9,64007000,7111888.888888889,5785000,6015000,6197000,6850000,11547000
or_simplify,107,58257000,544457.9439252337,434000,466000,487000,542500,894000
rare_rewrite_bool-impl-true2,6,54115000,9019166.666666666,6274000,6511500,9106000,11563250,11600000
not_or,126,50517000,400928.5714285714,184000,303250,351000,517500,752000
choice,916,50119000,54715.0655021834,24000,34000,56000,74000,98000
rare_rewrite_ite-then-true,4,45522000,11380500,7420000,10507000,12301500,13175000,13499000
ite2,173,37851000,218791.90751445087,95000,139000,175000,253000,661000
rare_rewrite_bool-not-eq-elim2,5,36147000,7229400,5924000,6041000,6107000,6240000,11835000
ite1,140,29803000,212878.57142857142,106000,133500,172500,246000,544000
