rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,2792,67086098750,24027972.33166189,91775,2806000,9886000,28719500,145873750
__normalized_input,16721,65226688000,3900884.3968662163,582000,1076000,1881000,4770000,20416000
rare_rewrite_bool-and-de-morgan,7781,62050892000,7974668.03752731,5603000,6080000,6510000,8500000,18443000
rare_rewrite_bool-impl-elim,7020,60493364600,8617288.404558405,5798475,6255000,6739500,11468250,22054249.999999996
resolution,98560,38705497000,392709.99391233764,158000,228000,309000,438000,1539000
poly_simp,8095,21754191150,2687361.476219889,1493000,1793000,2288000,3134500,7471049.9999999935
trans,57188,17014296000,297515.1430370008,98000,174000,241000,355000,931000
forall_inst,15898,16104646850,1012998.2922380173,644000,752000,859000,1273000,1963574.9999999988
rare_rewrite_arith-elim-lt,1875,15295307350,8157497.253333333,5538400,6019500,6460000,10830500,18943649.999999978
aci_simp,10409,14660363400,1408431.4919780958,923000,1040000,1168000,1727000,2975399.9999999977
cong,82772,14066841000,169946.85400860195,47000,84000,129000,203000,630000
subproof,8210,13870736300,1689492.850182704,1021000,1148000,1386500,2094000,4036549.999999999
rare_rewrite_arith-elim-leq,1396,11373827250,8147440.723495702,5567750,5991750,6440500,10824000,21700000
reordering,15995,10420720999.999996,651498.6558299466,173850.00000000003,273000,402000,656000,4183199.9999999898
rare_rewrite_bool-impl-false1,1137,9451045800,8312265.435356201,5602000,6162000,6681000,9189000,22160200
bind,27385,9426407000,344217.8930071207,146000,223000,293000,409000,936399.9999999978
rare_rewrite_or-not-refl,1123,9305671900,8286439.804096171,5895200,6372500,6771000,10586000,16980900.000000004
contraction,14292,8540042100,597540.0293870696,171000,287000,411000,664000,2823450.000000001
and_pos,12668,8139348100,642512.4802652353,101000,196000,332000,659000,4767299.999999995
equiv_pos2,30597,7254244999.999998,237090.07419028002,38000,111000,178000,295000,921199.9999999971
rare_rewrite_bool-eq-false,789,6527468000,8273089.987325729,5574700,6031000,6519000,11056000,21543099.999999993
poly_simp_rel,4523,5919438400,1308741.6316604023,919000,1012500,1098000,1502500,2578599.999999995
implies_neg1,8223,4258455400,517871.2635291256,142000,259000,377000,595000,2195899.9999999995
la_generic,345,4052528000,11746457.971014492,4699200,7376000,10209000,13897000,27658799.999999993
or_neg,11172,3914259000,350363.31901181524,138000,189000,263000,402000,1345450.0000000007
implies_neg2,8228,3779083900,459295.5639280506,129000,238000,347000,535000,1765649.9999999995
rare_rewrite_ite-not-cond,430,3221205650,7491175.930232558,5434425,5951250,6514000,7247250,15769724.999999989
rare_rewrite_bool-eq-true,390,3159994000,8102548.717948718,5716350,6109000,6502500,7724750,21734349.999999993
rare_rewrite_bool-or-de-morgan,405,3144646200,7764558.518518519,5748300,6234000,6618000,7718000,16097899.99999998
rare_rewrite_eq-symm,16491,2780534750,168609.22624461827,77000,107000,140000,201000,481750
implies,8029,2749754200,342477.79300037364,114700.00000000001,190000,262000,394000,1279500.000000001
symm,11805,2359153000,199843.54087251166,70000,104000,157000,249000,641000
rare_rewrite_ite-eq,268,2233257550,8333050.559701492,5905750,6368000,6891000,8751000,18740899.99999998
refl,31410,2214622000,70506.90862782553,17000,28000,42000,74000,421000
qnt_rm_unused,1715,2201918250,1283917.3469387756,239850,425500,878000,1675500,5638899.999999999
sko_forall,1019,2041539700,2003473.6997055938,924900,1144000,1591000,2252500,6987549.999999998
onepoint,1123,1957373450,1742986.1531611753,928000,1087000,1414000,1926000,5565050.000000001
or_pos,5661,1947121000,343953.5417770712,178500,233000,301000,411000,810500
equiv_simplify,5465,1856401800,339689.25892040256,153000,194000,275000,406000,1114399.9999999995
rare_rewrite_arith-elim-gt,198,1661172375,8389759.469696969,5768700,6204750,6589500,11301500,19139974.999999996
hole,2,1615213000,807606500,763858525,785732512.5,807606500,829480487.5,851354475
rare_rewrite_bool-or-and-distrib,180,1423345125,7907472.916666667,5821225,6276750,6617000,7371250,17937600
__local_input,16615,1206399000,72609.02798675896,19000,34000,58000,96000,227000
rare_rewrite_bool-double-not-elim,6255,1199060000,191696.24300559552,85000,113000,152000,229000,585000
equiv1,3741,1195091000,319457.6316492916,83000,135000,216000,365000,1429500
evaluate,3922,1115213525,284348.1705762366,148000,210000,260000,334000,589974.9999999999
equiv2,3330,744321300,223519.9099099099,82000,120000,180500,274750,710325.0000000002
rare_rewrite_bool-implies-de-morgan,95,676556900,7121651.578947368,5416350,5636000,6008000,7010000,13968949.999999987
rare_rewrite_arith-geq-tighten,80,652366200,8154577.5,5691825,5967250,6256000,11301250,14167774.999999987
rare_rewrite_arith-leq-norm,81,615055000,7593271.604938271,5570000,5897000,6257000,7981000,13403000
and_intro,1919,607330400,316482.75143303804,91000,155000,231000,372000,1257549.9999999995
implies_simplify,989,605643500,612379.6764408493,184000,276000,437000,718000,2392099.9999999977
connective_def,1424,573907600,403025,196000,271000,341000,481250,1087850
miniscope_split,648,501133749.99999994,773354.5524691357,260700,378000,513000,867000,3033049.999999995
and_neg,1166,486065750,416865.9948542024,153000,215000,321000,476000,1613625
qnt_join,1167,458270500,392691.088260497,205000,259000,336000,456500,976249.9999999995
rare_rewrite_bool-not-eq-elim1,60,451140200,7519003.333333333,5513450,5921250,6343000,8419500,12733650
rare_rewrite_eq-refl,2258,367259550,162648.16209034543,72000,92000,122000,181000,590149.9999999997
not_and,880,333221750,378661.07954545453,146975,208750,303500,459250,1161149.9999999998
not_not,1662,329861950,198472.89410348976,107000,134000,170500,242750,440474.9999999999
and,1236,236931125,191691.84870550162,79000,106750,152000,230250,512875
la_mult_neg,532,214172700,402580.2631578947,216000,290000,356500,476000,915050.0000000005
comp_simplify,107,185453350,1733208.8785046728,1299650,1362000,1458000,1758000,2984800
equiv_pos1,1398,156124250,111676.85979971387,34000,57000,87500,136000,364150.0000000001
rare_rewrite_ite-true-cond,20,153955750,7697787.5,6094025,6466250,6642500,7812500,12153724.999999998
miniscope_distribute,173,133366500,770904.6242774567,331800,373000,523000,845000,3131099.9999999995
rare_rewrite_bool-or-taut2,14,121929850,8709275,5881225,6083750,6448000,11280500,18359624.999999993
rare_rewrite_arith-geq-norm1-real,13,94356200,7258169.230769231,5761700,5968000,6600000,7469000,11341500
rare_rewrite_bool-eq-nrefl,11,81567000,7415181.818181818,5782750,5942000,6197000,8050000,11777250
rare_rewrite_bool-impl-true2,8,81548275,10193534.375,6229450,6415750,9106000,11574500,21203825.000000004
rare_rewrite_ite-then-true,6,72213375,12035562.5,7357875,8449000,12301500,13391000,19333500
or_simplify,119,66737749.99999999,560821.4285714285,427450,464500,487000,569500,1022799.9999999978
not_or,142,57955800,408139.4366197183,153100,297000,351000,529750,771850
rare_rewrite_ite-else-true,3,57474150,19158050,6421400,6491700,6562000,25526375,44490750
choice,1003,56652400,56482.95114656032,23000,33000,57000,75000,117899.99999999987
rare_rewrite_ite-then-false,4,55080650,13770162.5,6708725,10137931.25,11694000,15326231.25,24983924.999999996
rare_rewrite_bool-not-eq-elim2,7,54238350,7748335.714285715,5898500,5982500,6107000,9037500,12192850
ite2,193,47502999.999999985,246129.5336787564,87200,133000,175000,267000,951599.9999999977
