1; Draft.Scratch_smt_check_7_2356; 2026-04-10 13:48:54.068;
and: 284000,274000,263000,279000,
bind: 533000,513000,298000,348000,354000,909000,901000,619000,323000,366000,185000,428000,322000,349000,336000,
cong: 58000,46000,59000,87000,121000,146000,150000,105000,102000,117000,108000,113000,61000,58000,128000,253000,121000,158000,284000,117000,159000,493000,171000,544000,339000,368000,294000,1007000,151000,82000,114000,60000,370000,197000,172000,161000,137000,228000,56000,79000,187000,193000,
refl: 52000,27000,39000,27000,30000,30000,31000,30000,29000,337000,241000,184000,159000,58000,292000,29000,27000,84000,103000,85000,79000,89000,
symm: 294000,303000,160000,190000,149000,180000,223000,82000,
false: 12000,
trans: 157000,163000,218000,458000,331000,297000,200000,158000,167000,226000,195000,845000,763000,793000,297000,333000,590000,627000,511000,551000,533000,820000,852000,900000,849000,1062000,306000,230000,150000,345000,274000,302000,143000,194000,547000,315000,304000,266000,234000,190000,192000,
choice: 32000,70000,
equiv1: 294000,
equiv2: 138000,240000,100000,
or_neg: 171000,202000,247000,171000,
or_pos: 365000,350000,374000,373000,188000,394000,
implies: 278000,
not_not: 134000,
parsing: 53586000,
aci_simp: 2687000,1735000,2060000,1927000,1705000,1274000,1223000,1198000,1126000,936000,
evaluate: 293000,221000,
onepoint: 1757000,
qnt_join: 224000,
subproof: 2065000,
equiv_pos2: 364000,182000,231000,263000,356000,762000,443000,214000,207000,35000,
reordering: 522000,478000,478000,479000,203000,628000,294000,
resolution: 111000,161000,155000,217000,239000,407000,388000,478000,279000,287000,306000,393000,341000,350000,271000,376000,450000,510000,458000,335000,422000,315000,365000,303000,572000,617000,768000,654000,294000,351000,313000,348000,778000,317000,374000,175000,
sko_forall: 2715000,
contraction: 439000,338000,
forall_inst: 1421000,1291000,1134000,1250000,1297000,1793000,1258000,719000,
implies_neg1: 379000,
implies_neg2: 382000,
__local_input: 127000,
qnt_rm_unused: 309000,904000,
connective_def: 832000,
equiv_simplify: 218000,321000,417000,187000,
__normalized_input: 12018000,11668000,10719000,1373000,896000,1142000,708000,829000,
miniscope_distribute: 1209000,
rare_rewrite_eq-refl: 136000,144000,
rare_rewrite_eq-symm: 152000,191000,143000,142000,214000,89000,75000,81000,83000,
rare_rewrite_or-not-refl: 10388000,
rare_rewrite_ite-true-cond: 10618000,
rare_rewrite_bool-impl-elim: 11060000,12073000,6080000,
rare_rewrite_bool-and-de-morgan: 11834000,10839000,11266000,11528000,
rare_rewrite_bool-or-and-distrib: 5827000,5863000,5995000,6125000,
rare_rewrite_bool-double-not-elim: 283000,273000,138000,

