rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,90792,441810045000,4866178.132434576,366000,994000,1662000,4737000,371708000
parsing,16356,428966592000,26226864.269992664,32000,2034750,8460000,25144500,3523113000
rare_rewrite_bool-impl-elim,37334,342149771000,9164562.356029356,5338000,6311000,6914000,11657000,272043000
rare_rewrite_bool-and-de-morgan,39988,337707228000,8445214.264279284,5240000,6123000,6668000,11135250,280852000
resolution,527168,287816701000,545967.7009985432,86000,244000,327000,463000,2988556000
poly_simp,45725,134166500000,2934204.483324221,1332000,1818000,2353000,3216000,582117000
reordering,84476,112209413000,1328299.3157819973,90000,291000,421000,672000,2364930000
contraction,77460,105312339000,1359570.604182804,91000,298000,429000,682000,13996363000
trans,299261,101965683000,340724.9290752888,47000,184000,257000,379000,281267000
forall_inst,83686,94642673000,1130925.9971799345,540000,771000,910000,1297000,439614000
rare_rewrite_arith-elim-lt,10588,91015371000,8596087.174159426,5243000,6053000,6596000,10791250,348660000
cong,436964,84717219000,193876.8845946119,16000,86000,131000,208000,230027000
subproof,44657,83906942000,1878920.2588619925,917000,1174000,1469000,2135000,211589000
aci_simp,53043,81129375000,1529502.0078049884,784000,1059000,1222000,1838000,235909000
rare_rewrite_arith-elim-leq,7687,63509262000,8261904.774294263,5251000,6042000,6547000,10903000,87451000
and_pos,67852,56430082000,831664.2398160703,56000,209000,355000,696000,605679000
bind,142155,55498227000,390406.43663606624,93000,236000,312000,435000,367294000
rare_rewrite_bool-impl-false1,6102,52821333000,8656396.755162243,5224000,6172000,6801000,11040000,226198000
rare_rewrite_or-not-refl,5393,45763825000,8485782.495827924,5382000,6388000,6854000,9489000,313272000
equiv_pos2,163248,44712423000,273892.6234930903,24000,112000,182000,302000,102739000
rare_rewrite_bool-eq-false,4204,37846325000,9002455.994291151,5173000,6143750,6841500,11457250,42275000
poly_simp_rel,24930,34865833000,1398549.257922182,836000,1026000,1125000,1538000,70429000
implies_neg1,44720,28004942000,626228.5778175313,61000,268000,390000,608000,228937000
or_neg,59787,25561791000,427547.64413668524,81000,201000,277000,421000,48384000
implies_neg2,44738,24153677000,539891.7475077115,60000,248000,360000,558000,299043000
la_generic,1926,24051247000,12487667.185877467,3791000,7373000,10354500,15331000,74875000
implies,43814,18162749000,414542.13265166385,58000,197000,276000,414000,333191000
rare_rewrite_ite-not-cond,2220,17575463000,7916875.225225225,5291000,6027000,6558500,7602750,139446000
rare_rewrite_bool-or-de-morgan,2202,17436825000,7918630.790190736,5306000,6122000,6617000,7779000,260400000
rare_rewrite_eq-symm,83495,17086068000,204635.82250434157,48000,117000,158000,222000,55537000
rare_rewrite_bool-eq-true,1904,16679483000,8760232.668067226,5338000,6158000,6681500,11162250,60846000
symm,62747,14740438000,234918.60965464485,40000,117000,173000,268500,21719000
rare_rewrite_ite-eq,1589,14059620000,8848093.140339836,5416000,6490000,7109000,9606000,113824000
refl,166828,13691558000,82069.90433260603,12000,29000,42000,74000,26915000
sko_forall,5545,13026016000,2349146.257889991,782000,1173000,1707000,2305000,158398000
qnt_rm_unused,8061,12498563000,1550497.8290534674,111000,440000,913000,1714000,110690000
or_pos,29659,11579465000,390419.9399844904,142000,251000,323000,434000,45291000
equiv_simplify,28918,11320639000,391473.78795214056,113000,213000,294000,427000,37632000
hole,14,11259674000,804262428.5714285,646435000,773872000,796625500,842608250,932077000
