rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,12,219544000,18295333.333333332,392000,2008500,16837000,25707000,60762000
rare_rewrite_bool-and-de-morgan,13,152707000,11746692.307692308,5611000,11273000,11746000,11971000,23928000
resolution,178,78783000,442601.1235955056,131000,270250,357000,488750,6384000
rare_rewrite_bool-impl-elim,7,77192000,11027428.57142857,5908000,8806500,11476000,13466000,15263000
__normalized_input,42,66648000,1586857.142857143,721000,921000,991500,1181750,6349000
forall_inst,35,41234000,1178114.2857142857,651000,852500,1256000,1376000,2385000
rare_rewrite_bool-eq-false,4,36275000,9068750,5785000,6029500,9052000,12091250,12386000
equiv_pos2,55,34436000,626109.0909090909,27000,155500,271000,393000,11356000
subproof,12,25607000,2133916.6666666665,1202000,1924250,1990000,2522250,3062000
rare_rewrite_bool-impl-false1,1,23391000,23391000,23391000,23391000,23391000,23391000,23391000
cong,85,21580000,253882.35294117648,71000,125000,172000,240000,4166000
contraction,28,16785000,599464.2857142857,318000,364750,578500,688500,1804000
trans,53,15196000,286716.9811320755,100000,223000,288000,367000,444000
reordering,25,14530000,581200,410000,447000,471000,656000,1519000
aci_simp,8,13317000,1664625,1012000,1468500,1894500,1946750,1967000
or_neg,35,11580000,330857.14285714284,212000,274500,313000,356000,584000
bind,31,10037000,323774.1935483871,127000,238500,314000,380000,559000
implies_neg1,12,9875000,822916.6666666666,240000,274000,380500,571500,5451000
equiv_simplify,10,5447000,544700,241000,305000,433000,499250,1865000
rare_rewrite_bool-double-not-elim,20,5411000,270550,166000,205750,244500,350000,425000
connective_def,14,4988000,356285.71428571426,199000,297250,346000,458500,509000
implies_neg2,12,4788000,399000,237000,264000,344500,527750,654000
sko_forall,2,3255000,1627500,1588000,1607750,1627500,1647250,1667000
and_pos,10,3113000,311300,222000,265500,311500,329750,479000
implies,10,3108000,310800,203000,211250,301500,385250,470000
symm,16,2667000,166687.5,94000,123250,154500,178250,423000
or_pos,6,2395000,399166.6666666667,278000,308750,411000,475750,523000
rare_rewrite_eq-symm,12,2391000,199250,106000,166750,177000,230000,397000
refl,22,1691000,76863.63636363637,16000,40750,70000,90500,156000
equiv1,5,1401000,280200,198000,221000,245000,351000,386000
equiv2,7,1353000,193285.7142857143,123000,154500,185000,218000,300000
equiv_pos1,9,1177000,130777.77777777778,103000,114000,117000,138000,219000
evaluate,4,1071000,267750,174000,242250,267500,293000,362000
__local_input,18,1037000,57611.11111111111,34000,44000,49000,62500,119000
not_not,5,984000,196800,138000,161000,173000,242000,270000
and_neg,2,688000,344000,324000,334000,344000,354000,364000
implies_simplify,1,435000,435000,435000,435000,435000,435000,435000
not_and,1,295000,295000,295000,295000,295000,295000,295000
rare_rewrite_eq-refl,2,291000,145500,142000,143750,145500,147250,149000
not_equiv1,1,279000,279000,279000,279000,279000,279000,279000
and_intro,1,239000,239000,239000,239000,239000,239000,239000
not_equiv2,1,210000,210000,210000,210000,210000,210000,210000
choice,2,136000,68000,36000,52000,68000,84000,100000
false,1,24000,24000,24000,24000,24000,24000,24000
