1; Draft.Scratch_smt_check_7_26226; 2026-04-10 13:46:44.788;
cong: 233000,160000,125000,116000,234000,
refl: 34000,30000,
trans: 454000,360000,
implies: 318000,
parsing: 2043000,
subproof: 2267000,
equiv_pos2: 303000,179000,239000,
resolution: 301000,471000,455000,506000,586000,294000,478000,
contraction: 464000,
forall_inst: 1339000,
implies_neg1: 409000,
implies_neg2: 458000,
__local_input: 118000,
connective_def: 654000,530000,
__normalized_input: 873000,879000,1126000,
rare_rewrite_bool-double-not-elim: 358000,498000,

