1; Draft.Scratch_smt_check_7_14903; 2026-04-10 13:51:59.384;
bind: 692000,814000,774000,744000,616000,
cong: 241000,216000,166000,97000,309000,225000,
refl: 82000,54000,
symm: 400000,
false: 21000,
trans: 442000,528000,622000,731000,
choice: 29000,66000,
equiv2: 433000,381000,
or_neg: 418000,438000,371000,387000,
or_pos: 600000,543000,617000,
not_not: 367000,
parsing: 5279000,
aci_simp: 2160000,
evaluate: 470000,
equiv_pos1: 142000,
equiv_pos2: 339000,476000,233000,106000,477000,261000,59000,
reordering: 533000,779000,635000,781000,890000,676000,
resolution: 346000,443000,434000,576000,536000,638000,465000,479000,600000,648000,668000,427000,599000,675000,421000,446000,456000,503000,464000,437000,635000,575000,604000,759000,512000,
sko_forall: 3815000,
contraction: 594000,
forall_inst: 1624000,1622000,1720000,1396000,1419000,1528000,1727000,
equiv_simplify: 663000,616000,
__normalized_input: 15092000,10029000,4255000,2974000,3048000,795000,702000,
rare_rewrite_bool-impl-elim: 12219000,12109000,12493000,11863000,
rare_rewrite_bool-and-de-morgan: 11795000,
rare_rewrite_bool-double-not-elim: 460000,

