1; Draft.Scratch_smt_check_7_14687; 2026-04-10 13:46:33.970;
bind: 389000,379000,389000,370000,
cong: 160000,153000,175000,150000,98000,99000,82000,128000,96000,84000,88000,134000,130000,150000,98000,90000,94000,
refl: 24000,26000,27000,28000,
symm: 144000,151000,
trans: 348000,191000,366000,
and_neg: 375000,
and_pos: 289000,257000,
implies: 354000,
parsing: 6709000,
subproof: 2443000,
equiv_pos2: 194000,270000,389000,
reordering: 536000,665000,
resolution: 375000,556000,307000,472000,614000,568000,556000,715000,334000,479000,
contraction: 535000,519000,
forall_inst: 1389000,1447000,
implies_neg1: 497000,
implies_neg2: 479000,
__local_input: 67000,75000,
__normalized_input: 8677000,2994000,4949000,2963000,
rare_rewrite_eq-symm: 265000,285000,

