1; Draft.Scratch_smt_check_7_10948; 2026-04-10 13:45:55.879;
bind: 275000,383000,197000,
cong: 353000,153000,141000,174000,165000,200000,67000,259000,120000,173000,110000,
refl: 91000,48000,
symm: 111000,206000,173000,
trans: 216000,192000,247000,347000,
equiv1: 180000,461000,263000,
equiv2: 239000,324000,225000,
implies: 337000,
not_not: 266000,235000,
parsing: 10901000,
subproof: 2099000,
equiv_pos1: 119000,
equiv_pos2: 459000,112000,156000,200000,340000,200000,242000,152000,
reordering: 551000,839000,514000,
resolution: 293000,291000,254000,247000,290000,292000,502000,566000,533000,331000,304000,290000,331000,272000,256000,364000,365000,381000,336000,322000,396000,441000,362000,259000,341000,
contraction: 533000,
forall_inst: 1260000,1315000,1349000,1545000,1232000,
implies_neg1: 421000,
implies_neg2: 484000,
__local_input: 101000,
equiv_simplify: 392000,261000,499000,605000,398000,392000,
__normalized_input: 6879000,5162000,4210000,1891000,1691000,1502000,1074000,1049000,1284000,
rare_rewrite_eq-symm: 360000,180000,243000,158000,

