1; Draft.Scratch_smt_check_7_17510; 2026-04-10 13:48:39.747;
bind: 338000,610000,
cong: 129000,121000,231000,190000,425000,257000,
refl: 39000,74000,70000,
trans: 197000,214000,143000,361000,440000,295000,
or_pos: 449000,
implies: 418000,
parsing: 5602000,
aci_simp: 1073000,2180000,
not_symm: 142000,
subproof: 2273000,
equiv_pos2: 507000,475000,581000,
reordering: 574000,
resolution: 283000,336000,527000,570000,747000,843000,483000,531000,
contraction: 705000,
forall_inst: 1539000,
implies_neg1: 615000,
implies_neg2: 651000,
__local_input: 278000,
__normalized_input: 1649000,1044000,988000,1185000,
rare_rewrite_eq-symm: 177000,
rare_rewrite_bool-impl-elim: 18900000,13194000,
rare_rewrite_bool-and-de-morgan: 6453000,12848000,
rare_rewrite_bool-double-not-elim: 126000,153000,212000,280000,

