1; Draft.Scratch_smt_check_7_11668; 2026-04-10 13:45:02.318;
bind: 340000,343000,398000,
cong: 219000,217000,
refl: 143000,117000,
symm: 144000,
trans: 251000,270000,254000,291000,
equiv1: 235000,
parsing: 11319000,
aci_simp: 1897000,1803000,
equiv_pos2: 55000,206000,333000,154000,
reordering: 535000,
resolution: 271000,264000,403000,327000,297000,513000,
forall_inst: 1486000,
connective_def: 539000,
miniscope_split: 478000,
__normalized_input: 8838000,747000,918000,932000,
rare_rewrite_bool-eq-false: 11515000,
rare_rewrite_bool-impl-elim: 22153000,

